,lineup,made layup,missed layup,Assist,Turnover,defensive rebound,enters the game,goes to the bench,missed 3-pt. jump shot,Foul,Steal,made free throw,missed free throw,made jump shot,made 3-pt. jump shot,missed jump shot,offensive rebound
0,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN')",0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL')",1,0,2,3,6,0,0,3,2,1,0,0,0,2,1,0
2,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SPENCER,XAVIER')",0,0,2,0,3,0,0,0,1,0,0,0,2,0,2,0
3,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'SMITH,DANIEL', 'SPENCER,XAVIER')",3,1,2,3,4,0,0,1,3,0,2,1,2,1,1,2
4,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'OKADO,MARJOK', 'SIMPSON,NOAH', 'SMITH,DANIEL')",2,1,0,1,0,0,0,1,2,0,1,0,0,0,0,0
5,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'RILEY,BEN', 'SIMPSON,NOAH', 'SPENCER,XAVIER')",0,2,1,0,1,0,0,1,1,0,0,0,0,1,0,1
6,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'SIMPSON,NOAH', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
7,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'RILEY,BEN')",0,1,0,2,1,0,0,0,0,0,3,1,0,0,1,2
8,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SMITH,DANIEL')",0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
9,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN', 'SPENCER,XAVIER')",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
10,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,1,1,1,0,0,0,1,0,0,2,0,1,1,0
11,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH', 'SMITH,DANIEL')",0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0
12,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'RILEY,BEN', 'SIMPSON,NOAH', 'SMITH,DANIEL')",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,"('CHRISTOPHER,NATHAN', 'OKADO,MARJOK', 'SIMPSON,NOAH', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,1,1,2,0,0,0,0,0,0,0,0,0,2,0,1
14,"('DOREY-HAVENS,AUBREY', 'J-SERAPHIN,REGINALD', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL')",1,0,1,2,2,0,0,0,2,0,0,0,1,0,1,0
15,"('DOREY-HAVENS,AUBREY', 'J-SERAPHIN,REGINALD', 'MILON,EMANUEL', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,"('DOREY-HAVENS,AUBREY', 'J-SERAPHIN,REGINALD', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH', 'SMITH,DANIEL')",0,2,0,1,1,0,0,1,0,0,0,0,0,0,2,2
17,"('DOREY-HAVENS,AUBREY', 'RANDRIASALAMA,TO', 'RILEY,BEN', 'SIMPSON,NOAH', 'SMITH,DANIEL')",0,0,1,1,2,0,0,0,1,0,0,0,0,1,0,0
18,"('J-SERAPHIN,REGINALD', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'RILEY,BEN')",0,0,1,3,0,0,0,1,1,2,1,1,1,0,3,2
19,"('J-SERAPHIN,REGINALD', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN', 'SPENCER,XAVIER')",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,"('RANDRIASALAMA,TO', 'RILEY,BEN', 'SIMPSON,NOAH', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,1,1,2,0,0,0,2,0,0,0,1,0,1,1
