,,Lineup,PtScored,OffRtg,DefRtg,NetRtg,ptsconceded,global off possession,global def possession,efficiency,minutes,home/visitor,opponent
0,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN')",0.0,0.000,0.000,0.000,0.0,1.0,1.0,0.0,0.87,Home,Canisius
1,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL')",8.0,44.444,27.778,16.667,5.0,11.0,7.0,0.7792207792207793,5.13,Home,Canisius
2,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SPENCER,XAVIER')",4.0,44.444,55.556,-11.111,5.0,7.0,2.0,2.0547945205479454,2.43,Home,Canisius
3,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'SMITH,DANIEL', 'SPENCER,XAVIER')",15.0,65.217,21.739,43.478,5.0,16.0,7.0,1.5297450424929178,5.88,Home,Canisius
4,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'OKADO,MARJOK', 'SIMPSON,NOAH', 'SMITH,DANIEL')",5.0,83.333,83.333,0.000,5.0,3.0,3.0,0.0,2.13,Home,Canisius
5,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'RILEY,BEN', 'SIMPSON,NOAH', 'SPENCER,XAVIER')",3.0,42.857,42.857,0.000,3.0,4.0,3.0,0.8333333333333334,1.20,Home,Canisius
6,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'SIMPSON,NOAH', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0.0,0.000,0.000,0.000,0.0,1.0,2.0,-4.615384615384615,0.22,Home,Canisius
7,,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'RILEY,BEN')",3.0,27.273,45.455,-18.182,5.0,6.0,5.0,0.7894736842105263,1.27,Home,Canisius
8,,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SMITH,DANIEL')",0.0,0.000,50.000,-50.000,2.0,1.0,3.0,-1.2,1.67,Home,Canisius
9,,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN', 'SPENCER,XAVIER')",0.0,0.000,200.000,-200.000,2.0,0.0,1.0,-3.0,0.33,Home,Canisius
10,,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL', 'SPENCER,XAVIER')",3.0,42.857,142.857,-100.000,10.0,3.0,4.0,-0.3821656050955414,2.62,Home,Canisius
11,,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH', 'SMITH,DANIEL')",3.0,75.000,125.000,-50.000,5.0,2.0,2.0,0.0,3.43,Home,Canisius
12,,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'RILEY,BEN', 'SIMPSON,NOAH', 'SMITH,DANIEL')",2.0,100.000,150.000,-50.000,3.0,2.0,0.0,0.8108108108108109,2.47,Home,Canisius
13,,"('CHRISTOPHER,NATHAN', 'OKADO,MARJOK', 'SIMPSON,NOAH', 'SMITH,DANIEL', 'SPENCER,XAVIER')",6.0,85.714,71.429,14.286,5.0,4.0,3.0,0.5128205128205128,1.95,Home,Canisius
14,,"('DOREY-HAVENS,AUBREY', 'J-SERAPHIN,REGINALD', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL')",4.0,50.000,62.500,-12.500,5.0,5.0,3.0,0.6936416184971098,2.88,Home,Canisius
15,,"('DOREY-HAVENS,AUBREY', 'J-SERAPHIN,REGINALD', 'MILON,EMANUEL', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0.0,0.000,0.000,0.000,0.0,1.0,2.0,-0.8333333333333334,1.20,Home,Canisius
16,,"('DOREY-HAVENS,AUBREY', 'J-SERAPHIN,REGINALD', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH', 'SMITH,DANIEL')",0.0,0.000,55.556,-55.556,5.0,3.0,6.0,-1.9565217391304348,1.53,Home,Canisius
17,,"('DOREY-HAVENS,AUBREY', 'RANDRIASALAMA,TO', 'RILEY,BEN', 'SIMPSON,NOAH', 'SMITH,DANIEL')",3.0,60.000,80.000,-20.000,4.0,4.0,1.0,2.142857142857143,1.40,Home,Canisius
18,,"('J-SERAPHIN,REGINALD', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'RILEY,BEN')",3.0,23.077,46.154,-23.077,6.0,5.0,8.0,-0.7407407407407407,4.05,Home,Canisius
19,,"('J-SERAPHIN,REGINALD', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN', 'SPENCER,XAVIER')",0.0,0.000,0.000,0.000,0.0,0.0,1.0,-2.5,0.40,Home,Canisius
20,,"('RANDRIASALAMA,TO', 'RILEY,BEN', 'SIMPSON,NOAH', 'SMITH,DANIEL', 'SPENCER,XAVIER')",4.0,57.143,28.571,28.571,2.0,5.0,2.0,2.4657534246575343,1.22,Home,Canisius
