,lineup,quarter1,quarter1,quarter1,quarter2,quarter2,quarter2,quarter3,quarter3,quarter3,quarter4,quarter4,quarter4,total,total,total
,lineup,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc
0,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN')",0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0
1,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL')",95.0,5.0,1.0,0.0,0.0,0.0,95.0,3.0,2.0,118.0,0.0,2.0,308.0,8.0,5.0
2,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SPENCER,XAVIER')",0.0,0.0,0.0,146.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,4.0,5.0
3,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0.0,0.0,0.0,99.0,2.0,1.0,0.0,0.0,0.0,254.0,13.0,4.0,353.0,15.0,5.0
4,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'OKADO,MARJOK', 'SIMPSON,NOAH', 'SMITH,DANIEL')",99.0,3.0,5.0,0.0,0.0,0.0,29.0,2.0,0.0,0.0,0.0,0.0,128.0,5.0,5.0
5,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'RILEY,BEN', 'SIMPSON,NOAH', 'SPENCER,XAVIER')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,3.0,3.0,72.0,3.0,3.0
6,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'SIMPSON,NOAH', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0
7,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'RILEY,BEN')",0.0,0.0,0.0,19.0,0.0,3.0,57.0,3.0,2.0,0.0,0.0,0.0,76.0,3.0,5.0
8,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SMITH,DANIEL')",0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,2.0
9,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN', 'SPENCER,XAVIER')",20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0
10,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL', 'SPENCER,XAVIER')",15.0,0.0,3.0,142.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,3.0,10.0
11,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH', 'SMITH,DANIEL')",0.0,0.0,0.0,0.0,0.0,0.0,206.0,3.0,5.0,0.0,0.0,0.0,206.0,3.0,5.0
12,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'RILEY,BEN', 'SIMPSON,NOAH', 'SMITH,DANIEL')",0.0,0.0,0.0,148.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,2.0,3.0
13,"('CHRISTOPHER,NATHAN', 'OKADO,MARJOK', 'SIMPSON,NOAH', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0.0,0.0,0.0,0.0,0.0,0.0,117.0,6.0,5.0,0.0,0.0,0.0,117.0,6.0,5.0
14,"('DOREY-HAVENS,AUBREY', 'J-SERAPHIN,REGINALD', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL')",0.0,0.0,0.0,0.0,0.0,0.0,43.0,2.0,3.0,130.0,2.0,2.0,173.0,4.0,5.0
