,PtScored,ptsconceded,OffRtg,DefRtg,NetRtg,total off possession,total def possession,global efficiency,quarter2 last 5min efficiency,quarter4 last 5min efficiency,minutes,home/visitor,opponent,date,game_type
0,40.0,45.0,363.636,409.091,-45.455,9,2,0.25225225225225223,0.30456852791878175,Not in the time,27.75,Home,Canisius,,
1,41.0,58.0,186.364,263.636,-77.273,10,12,-0.07312614259597806,Not in the time,-0.46153846153846156,27.35,Home,Canisius,,
2,16.0,29.0,228.571,414.286,-185.714,3,4,-0.07782101167315175,Not in the time,Not in the time,12.85,Home,Canisius,,
3,18.0,25.0,300.000,416.667,-116.667,2,4,-0.1671309192200557,0.0,Not in the time,11.97,Home,Canisius,,
4,7.0,16.0,175.000,400.000,-225.000,1,3,-0.1986754966887417,Not in the time,0.0,10.07,Home,Canisius,,
5,35.0,32.0,250.000,228.571,21.429,9,5,0.22922636103151864,Not in the time,0.5405405405405406,17.45,Home,Canisius,,
6,46.0,50.0,170.370,185.185,-14.815,17,10,0.2759526938239159,Not in the time,-1.875,25.37,Home,Canisius,,
7,53.0,56.0,311.765,329.412,-17.647,10,7,0.10186757215619695,Not in the time,Not in the time,29.45,Home,Canisius,,
8,42.0,37.0,144.828,127.586,17.241,15,14,0.04246284501061571,-1.5,Not in the time,23.55,Home,Canisius,,
9,26.0,32.0,200.000,246.154,-46.154,8,5,0.24489795918367346,Not in the time,Not in the time,12.25,Home,Canisius,,
10,6.0,5.0,0.000,0.000,0.000,0,0,0.0,Not in the time,Not in the time,1.95,Home,Canisius,,
