,player,quarter1,quarter1,quarter1,quarter2,quarter2,quarter2,quarter3,quarter3,quarter3,quarter4,quarter4,quarter4,total,total,total
,player,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc
0,"OKADO,MARJOK",351.0,10.0,14.0,501.0,10.0,21.0,600.0,19.0,19.0,189.0,2.0,4.0,1641.0,41.0,58.0
1,"RILEY,BEN",320.0,9.0,11.0,213.0,3.0,9.0,113.0,3.0,2.0,72.0,3.0,3.0,718.0,18.0,25.0
2,"RANDRIASALAMA,TO",368.0,9.0,14.0,139.0,1.0,6.0,264.0,6.0,9.0,0.0,0.0,0.0,771.0,16.0,29.0
3,"MILON,EMANUEL",273.0,7.0,9.0,526.0,10.0,19.0,351.0,8.0,9.0,515.0,15.0,8.0,1665.0,40.0,45.0
4,"J-SERAPHIN,REGINALD",235.0,2.0,8.0,120.0,1.0,3.0,47.0,2.0,3.0,202.0,2.0,2.0,604.0,7.0,16.0
5,"DOREY-HAVENS,AUBREY",349.0,11.0,15.0,245.0,6.0,6.0,219.0,7.0,5.0,600.0,18.0,11.0,1413.0,42.0,37.0
6,"SPENCER,XAVIER",132.0,4.0,7.0,387.0,9.0,13.0,117.0,6.0,5.0,411.0,16.0,7.0,1047.0,35.0,32.0
7,"BRAZDEIKIS,AUGUSTAS",208.0,8.0,11.0,480.0,11.0,19.0,436.0,11.0,11.0,398.0,16.0,9.0,1522.0,46.0,50.0
8,"SIMPSON,NOAH",327.0,10.0,16.0,74.0,2.0,3.0,249.0,11.0,10.0,85.0,3.0,3.0,735.0,26.0,32.0
9,"SMITH,DANIEL",437.0,15.0,20.0,315.0,7.0,11.0,487.0,16.0,17.0,528.0,15.0,8.0,1767.0,53.0,56.0
10,"CHRISTOPHER,NATHAN",0.0,0.0,0.0,0.0,0.0,0.0,117.0,6.0,5.0,0.0,0.0,0.0,117.0,6.0,5.0
