,player,quarter2,quarter2,quarter4,quarter4
,player,seconds,ptc,seconds,ptc
0,"OKADO,MARJOK",56.0,-21.0,82.0,53.0
1,"RILEY,BEN",172.0,4.0,0.0,0.0
2,"UGBAH,EMMANUEL",56.0,-21.0,177.0,3.0
3,"LATIFF,WAZIR",56.0,-21.0,101.0,53.0
4,"JEAN-SERAPHIN,R",0.0,0.0,0.0,0.0
5,"DOREY-HAVENS,AUBREY",14.0,0.0,193.0,6.0
6,"KNIGHT,JACOB",0.0,0.0,0.0,0.0
7,"RANDRIASALAMA,TO",172.0,4.0,0.0,0.0
8,"SPENCER,XAVIER",35.0,0.0,212.0,6.0
9,"BRAZDEIKIS,AUGUSTAS",0.0,0.0,71.0,52.0
10,"SIMPSON,NOAH",0.0,0.0,0.0,0.0
11,"SMITH,DANIEL",56.0,-21.0,129.0,53.0
12,"CHRISTOPHER,NATHAN",0.0,0.0,0.0,0.0
