,lineup,quarter1,quarter1,quarter1,quarter2,quarter2,quarter2,quarter3,quarter3,quarter3,quarter4,quarter4,quarter4,total,total,total
,lineup,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc
0,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'JEAN-SERAPHIN,R', 'RANDRIASALAMA,TO', 'RILEY,BEN')",0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,2.0
1,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'JEAN-SERAPHIN,R', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,16.0,13.0,1020.0,16.0,13.0
2,"('BRAZDEIKIS,AUGUSTAS', 'JEAN-SERAPHIN,R', 'LATIFF,WAZIR', 'OKADO,MARJOK', 'SMITH,DANIEL')",0.0,0.0,0.0,0.0,0.0,0.0,177.0,3.0,3.0,0.0,0.0,0.0,177.0,3.0,3.0
3,"('BRAZDEIKIS,AUGUSTAS', 'JEAN-SERAPHIN,R', 'LATIFF,WAZIR', 'RANDRIASALAMA,TO', 'RILEY,BEN')",0.0,0.0,0.0,0.0,0.0,0.0,123.0,4.0,7.0,0.0,0.0,0.0,123.0,4.0,7.0
4,"('BRAZDEIKIS,AUGUSTAS', 'JEAN-SERAPHIN,R', 'OKADO,MARJOK', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",136.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,2.0
5,"('BRAZDEIKIS,AUGUSTAS', 'JEAN-SERAPHIN,R', 'RANDRIASALAMA,TO', 'RILEY,BEN', 'SPENCER,XAVIER')",0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0
6,"('CHRISTOPHER,NATHAN', 'JEAN-SERAPHIN,R', 'LATIFF,WAZIR', 'OKADO,MARJOK', 'SMITH,DANIEL')",0.0,0.0,0.0,518.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0,4.0,5.0
7,"('JEAN-SERAPHIN,R', 'LATIFF,WAZIR', 'OKADO,MARJOK', 'RILEY,BEN', 'UGBAH,EMMANUEL')",467.0,21.0,14.0,341.0,15.0,8.0,197.0,3.0,4.0,90.0,2.0,5.0,1095.0,41.0,31.0
8,"('JEAN-SERAPHIN,R', 'LATIFF,WAZIR', 'OKADO,MARJOK', 'SMITH,DANIEL', 'UGBAH,EMMANUEL')",65.0,0.0,2.0,0.0,0.0,0.0,126.0,4.0,7.0,0.0,0.0,0.0,191.0,4.0,9.0
