,player,made layup,missed layup,Assist,Turnover,defensive rebound,enters the game,goes to the bench,missed 3-pt. jump shot,Foul,Steal,made free throw,missed free throw,made jump shot,made 3-pt. jump shot,missed jump shot,offensive rebound
0,"LATIFF,WAZIR",1,2,2,3,0,7,9,3,1,1,6,3,0,2,1,0
1,"UGBAH,EMMANUEL",0,1,2,1,4,5,7,0,1,1,5,1,0,0,1,2
2,"OKADO,MARJOK",1,1,1,0,3,8,9,3,1,1,2,0,0,1,1,1
3,"SIMPSON,NOAH",1,2,1,0,2,7,4,0,3,0,0,2,2,0,2,2
4,"SMITH,DANIEL",1,2,0,1,1,8,6,0,0,1,0,0,0,1,0,2
5,"SPENCER,XAVIER",0,3,1,4,4,9,7,1,1,0,1,2,1,2,1,1
6,"RILEY,BEN",0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0
7,"BRAZDEIKIS,AUGUSTAS",2,1,0,1,6,8,4,3,4,1,5,0,2,0,3,2
8,"RANDRIASALAMA,TO",0,0,0,0,0,2,2,0,2,1,0,0,0,0,0,0
9,"DOREY-HAVENS,AUBREY",2,3,3,4,3,8,7,1,2,0,2,0,1,1,0,0
10,"CHRISTOPHER,NATHAN",0,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0
