,player,quarter1,quarter1,quarter1,quarter2,quarter2,quarter2,quarter3,quarter3,quarter3,quarter4,quarter4,quarter4,total,total,total
,player,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc
0,"OKADO,MARJOK",386.0,11.0,10.0,139.0,4.0,3.0,249.0,7.0,12.0,228.0,7.0,6.0,1002.0,29.0,31.0
1,"RILEY,BEN",286.0,12.0,6.0,0.0,0.0,0.0,172.0,4.0,9.0,0.0,0.0,0.0,458.0,16.0,15.0
2,"UGBAH,EMMANUEL",349.0,13.0,8.0,356.0,9.0,6.0,126.0,4.0,7.0,267.0,5.0,9.0,1098.0,31.0,30.0
3,"LATIFF,WAZIR",334.0,15.0,8.0,139.0,4.0,3.0,446.0,11.0,21.0,247.0,7.0,8.0,1166.0,37.0,40.0
4,"JEAN-SERAPHIN,R",600.0,21.0,18.0,600.0,19.0,13.0,600.0,14.0,23.0,600.0,18.0,18.0,2400.0,72.0,72.0
5,"DOREY-HAVENS,AUBREY",119.0,6.0,4.0,461.0,15.0,10.0,119.0,3.0,2.0,353.0,11.0,10.0,1052.0,35.0,26.0
6,"KNIGHT,JACOB",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"RANDRIASALAMA,TO",144.0,4.0,8.0,0.0,0.0,0.0,172.0,4.0,9.0,0.0,0.0,0.0,316.0,8.0,17.0
8,"SPENCER,XAVIER",184.0,5.0,6.0,461.0,15.0,10.0,214.0,3.0,2.0,372.0,11.0,12.0,1231.0,34.0,30.0
9,"BRAZDEIKIS,AUGUSTAS",266.0,6.0,10.0,443.0,13.0,8.0,474.0,10.0,16.0,553.0,18.0,18.0,1736.0,47.0,52.0
10,"SIMPSON,NOAH",288.0,13.0,10.0,567.0,19.0,10.0,258.0,3.0,6.0,588.0,18.0,16.0,1701.0,53.0,42.0
11,"SMITH,DANIEL",279.0,10.0,10.0,244.0,10.0,7.0,428.0,10.0,14.0,380.0,13.0,9.0,1331.0,43.0,40.0
12,"CHRISTOPHER,NATHAN",86.0,3.0,2.0,157.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,9.0,7.0
