,player,quarter2,quarter2,quarter2,quarter2,quarter2,quarter2,quarter2,quarter2,quarter2,quarter2,quarter2,quarter2,quarter2,quarter2,quarter2,quarter2,quarter4,quarter4,quarter4,quarter4,quarter4,quarter4,quarter4,quarter4,quarter4,quarter4,quarter4,quarter4,quarter4,quarter4,quarter4,quarter4
,player,made layup,missed layup,Assist,Turnover,defensive rebound,enters the game,goes to the bench,missed 3-pt. jump shot,Foul,Steal,made free throw,missed free throw,made jump shot,made 3-pt. jump shot,missed jump shot,offensive rebound,made layup,missed layup,Assist,Turnover,defensive rebound,enters the game,goes to the bench,missed 3-pt. jump shot,Foul,Steal,made free throw,missed free throw,made jump shot,made 3-pt. jump shot,missed jump shot,offensive rebound
0,"SPENCER,XAVIER",0,0,2,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,2,1,2,1,0,0,1,0,1,1,0,0,0,0
1,"RANDRIASALAMA,TO",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"DOREY-HAVENS,AUBREY",0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,"MILON,EMANUEL",0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1
4,"SIMPSON,NOAH HOROBETZ",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,0,0,0
5,"BRAZDEIKIS,AUGUSTAS",0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,1,1,0,0,0,1,0,1,0
6,"LATIFF,WAZIR",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,"OKADO,MARJOK",0,0,0,0,0,1,1,0,0,0,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"RILEY,BEN",0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"CONSTANT,RAPHAEL",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"SMITH,DANIEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,1,1,0,1,0,0,0,0,1
