,player,quarter2,quarter2,quarter4,quarter4
,player,seconds,ptc,seconds,ptc
0,"OKADO,MARJOK",170.0,10.0,0.0,0.0
1,"RILEY,BEN",0.0,0.0,0.0,0.0
2,"SPENCER,XAVIER",33.0,36.0,0.0,0.0
3,"BRAZDEIKIS,AUGUSTAS",154.0,42.0,0.0,0.0
4,"SIMPSON,NOAH HOROBETZ",33.0,36.0,0.0,0.0
5,"DOREY-HAVENS,AUBREY",68.0,2.0,69.0,75.0
6,"RANDRIASALAMA,TO",74.0,36.0,0.0,0.0
7,"LATIFF,WAZIR",74.0,36.0,0.0,0.0
8,"MILON,EMANUEL",133.0,6.0,69.0,75.0
9,"CONSTANT,RAPHAEL",12.0,0.0,0.0,0.0
10,"SMITH,DANIEL",0.0,0.0,0.0,0.0
11,"CHRISTOPHER,NATHAN",0.0,0.0,0.0,0.0
