,lineup,made layup,missed layup,Assist,Turnover,defensive rebound,enters the game,goes to the bench,missed 3-pt. jump shot,Foul,Steal,made free throw,missed free throw,made jump shot,made 3-pt. jump shot,missed jump shot,offensive rebound
0,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'RANDRIASALAMA,TO')",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'SMITH,DANIEL')",0,0,1,0,2,0,0,0,1,0,0,0,2,0,2,1
2,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'RILEY,BEN', 'SIMPSON,NOAH HOROBETZ')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",0,0,0,3,1,0,0,0,1,1,0,2,1,0,1,0
4,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN')",0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
5,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0
6,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'RANDRIASALAMA,TO', 'SPENCER,XAVIER')",1,0,0,1,1,0,0,0,3,1,4,1,0,0,0,0
7,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0
9,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0,1,1,2,2,0,0,0,1,2,2,1,2,0,1,2
10,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'RILEY,BEN', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0,0,1,0,0,0,0,0,0,0,3,3,0,1,3,3
11,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",2,0,5,5,10,0,0,2,4,0,2,1,5,1,1,1
12,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SPENCER,XAVIER')",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
13,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN', 'SPENCER,XAVIER')",0,0,1,0,3,0,0,0,1,0,1,1,1,1,1,1
14,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,1,1,1,0,0,0,2,0,0,0,1,0,1,1
15,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'RILEY,BEN', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",1,0,3,4,4,0,0,3,2,2,6,0,2,0,3,2
16,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,0,1,4,0,0,1,3,1,2,0,2,0,1,1
17,"('CHRISTOPHER,NATHAN', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'SMITH,DANIEL')",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,"('CHRISTOPHER,NATHAN', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
19,"('CONSTANT,RAPHAEL', 'DOREY-HAVENS,AUBREY', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0
20,"('CONSTANT,RAPHAEL', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'RILEY,BEN', 'SPENCER,XAVIER')",1,0,1,0,1,0,0,0,0,1,2,0,0,1,0,0
21,"('CONSTANT,RAPHAEL', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN', 'SPENCER,XAVIER')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"('OKADO,MARJOK', 'RILEY,BEN', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0
