,,Lineup,PtScored,OffRtg,DefRtg,NetRtg,ptsconceded,global off possession,global def possession,efficiency,minutes,home/visitor,opponent
0,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'RANDRIASALAMA,TO')",0.0,0.000,300.000,-300.000,6.0,0.0,2.0,-2.926829268292683,0.68,Home,Lakehead
1,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'SMITH,DANIEL')",4.0,50.000,12.500,37.500,1.0,6.0,2.0,3.287671232876712,1.22,Home,Lakehead
2,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'RILEY,BEN', 'SIMPSON,NOAH HOROBETZ')",0.0,0.000,0.000,0.000,0.0,0.0,1.0,-2.727272727272727,0.37,Home,Lakehead
3,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",2.0,25.000,75.000,-50.000,6.0,2.0,6.0,-1.5286624203821657,2.62,Home,Lakehead
4,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN')",2.0,100.000,50.000,50.000,1.0,2.0,0.0,4.444444444444445,0.45,Home,Lakehead
5,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",4.0,80.000,60.000,20.000,3.0,4.0,1.0,2.3684210526315788,1.27,Home,Lakehead
6,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'RANDRIASALAMA,TO', 'SPENCER,XAVIER')",6.0,75.000,100.000,-25.000,8.0,6.0,2.0,1.643835616438356,2.43,Home,Lakehead
7,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0.0,0.000,0.000,0.000,0.0,0.0,1.0,-6.0,0.17,Home,Lakehead
8,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",4.0,80.000,0.000,80.000,0.0,4.0,1.0,2.608695652173913,1.15,Home,Lakehead
9,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",6.0,42.857,14.286,28.571,2.0,9.0,5.0,2.1238938053097347,1.88,Home,Lakehead
10,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'RILEY,BEN', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",6.0,42.857,28.571,14.286,4.0,8.0,6.0,0.718562874251497,2.78,Home,Lakehead
11,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",19.0,54.286,37.143,17.143,13.0,26.0,9.0,1.4550641940085591,11.68,Home,Lakehead
12,,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SPENCER,XAVIER')",0.0,0.000,200.000,-200.000,2.0,0.0,1.0,-1.6216216216216217,0.62,Home,Lakehead
