,player,made layup,missed layup,Assist,Turnover,defensive rebound,enters the game,goes to the bench,missed 3-pt. jump shot,Foul,Steal,made free throw,missed free throw,made jump shot,made 3-pt. jump shot,missed jump shot,offensive rebound
0,"SIMPSON,NOAH HOROBETZ",0,0,0,2,4,5,7,0,3,0,4,4,8,0,4,1
1,"RILEY,BEN",0,0,1,0,2,2,4,1,0,1,0,0,0,0,1,0
2,"BRAZDEIKIS,AUGUSTAS",1,1,6,3,7,4,5,1,3,3,2,0,5,2,4,4
3,"OKADO,MARJOK",0,0,0,2,5,2,6,3,1,0,6,3,1,2,1,1
4,"SMITH,DANIEL",1,0,1,3,7,6,4,1,3,0,1,0,1,0,1,1
5,"MILON,EMANUEL",0,0,2,1,2,7,5,0,3,0,0,0,2,0,1,1
6,"SPENCER,XAVIER",3,2,6,6,7,4,4,0,4,3,11,2,2,0,1,2
7,"LATIFF,WAZIR",0,0,0,3,1,6,2,0,0,0,0,0,0,0,0,0
8,"DOREY-HAVENS,AUBREY",0,0,0,2,0,4,4,0,2,0,2,0,0,0,1,0
9,"CONSTANT,RAPHAEL",0,0,0,0,0,3,2,0,2,0,0,2,0,0,2,2
10,"RANDRIASALAMA,TO",1,0,0,0,0,2,2,0,4,1,0,0,0,0,0,0
11,"CHRISTOPHER,NATHAN",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
