,PtScored,ptsconceded,OffRtg,DefRtg,NetRtg,total off possession,total def possession,global efficiency,quarter2 last 5min efficiency,quarter4 last 5min efficiency,minutes,home/visitor,opponent,date,game_type
0,61.0,46.0,225.926,170.370,55.556,17,10,0.24333719582850522,0.0,Not in the time,28.77,Home,Lakehead,,
1,35.0,25.0,700.000,500.000,200.000,3,2,0.07001166861143523,Not in the time,Not in the time,14.28,Home,Lakehead,,
2,79.0,66.0,219.444,183.333,36.111,27,9,0.510879848628193,0.38961038961038963,Not in the time,35.23,Home,Lakehead,,
3,38.0,35.0,158.333,145.833,12.500,15,9,0.316622691292876,1.7647058823529411,Not in the time,18.95,Home,Lakehead,,
4,39.0,38.0,229.412,223.529,5.882,12,5,0.3411860276198213,Not in the time,Not in the time,20.52,Home,Lakehead,,
5,27.0,32.0,300.000,355.556,-55.556,7,2,0.44510385756676557,0.9022556390977443,1.7391304347826086,11.23,Home,Lakehead,,
6,76.0,55.0,180.952,130.952,50.000,31,11,0.6230529595015576,5.454545454545454,Not in the time,32.10,Home,Lakehead,,
7,54.0,43.0,1350.000,1075.000,275.000,1,3,-0.09009009009009009,-0.8108108108108109,Not in the time,22.20,Home,Lakehead,,
8,12.0,23.0,240.000,460.000,-220.000,2,3,-0.12658227848101267,0.0,0.0,7.90,Home,Lakehead,,
9,7.0,6.0,116.667,100.000,16.667,2,4,-0.916030534351145,0.0,Not in the time,2.18,Home,Lakehead,,
10,12.0,18.0,1200.000,1800.000,-600.000,1,0,0.17804154302670624,0.0,Not in the time,5.62,Home,Lakehead,,
11,0.0,3.0,0.000,0.000,0.000,0,0,0.0,Not in the time,Not in the time,1.02,Home,Lakehead,,
