,player,quarter1,quarter1,quarter1,quarter2,quarter2,quarter2,quarter3,quarter3,quarter3,quarter4,quarter4,quarter4,total,total,total
,player,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc
0,"OKADO,MARJOK",260.0,10.0,1.0,320.0,8.0,12.0,261.0,12.0,11.0,296.0,8.0,11.0,1137.0,38.0,35.0
1,"RILEY,BEN",302.0,16.0,2.0,95.0,0.0,5.0,317.0,15.0,13.0,143.0,4.0,5.0,857.0,35.0,25.0
2,"SPENCER,XAVIER",458.0,20.0,3.0,540.0,14.0,20.0,532.0,26.0,18.0,396.0,16.0,14.0,1926.0,76.0,55.0
3,"BRAZDEIKIS,AUGUSTAS",536.0,15.0,9.0,539.0,14.0,20.0,588.0,28.0,22.0,451.0,22.0,15.0,2114.0,79.0,66.0
4,"SIMPSON,NOAH HOROBETZ",478.0,13.0,8.0,345.0,8.0,7.0,376.0,20.0,11.0,527.0,20.0,20.0,1726.0,61.0,46.0
5,"DOREY-HAVENS,AUBREY",142.0,2.0,6.0,60.0,0.0,3.0,68.0,2.0,7.0,204.0,8.0,7.0,474.0,12.0,23.0
6,"RANDRIASALAMA,TO",0.0,0.0,0.0,183.0,6.0,10.0,154.0,6.0,8.0,0.0,0.0,0.0,337.0,12.0,18.0
7,"LATIFF,WAZIR",340.0,12.0,8.0,349.0,10.0,11.0,339.0,16.0,14.0,304.0,16.0,10.0,1332.0,54.0,43.0
8,"MILON,EMANUEL",122.0,9.0,1.0,255.0,6.0,16.0,224.0,8.0,14.0,73.0,4.0,1.0,674.0,27.0,32.0
9,"CONSTANT,RAPHAEL",64.0,7.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,55.0,0.0,3.0,131.0,7.0,6.0
10,"SMITH,DANIEL",298.0,6.0,7.0,253.0,4.0,8.0,129.0,7.0,4.0,551.0,22.0,19.0,1231.0,39.0,38.0
11,"CHRISTOPHER,NATHAN",0.0,0.0,0.0,61.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,3.0
