,player,quarter2,quarter2,quarter4,quarter4
,player,seconds,ptc,seconds,ptc
0,"OKADO,MARJOK",113.0,0.0,244.0,81.0
1,"UGBAH,EMMANUEL",199.0,4.0,0.0,0.0
2,"SPENCER,XAVIER",113.0,0.0,0.0,0.0
3,"BRAZDEIKIS,AUGUSTAS",0.0,0.0,0.0,0.0
4,"SIMPSON,NOAH",0.0,0.0,46.0,75.0
5,"RILEY,BEN",0.0,0.0,0.0,0.0
6,"DORSEY-HAVENS,AUBREY",0.0,0.0,0.0,0.0
7,"KNIGHT,JACOB",0.0,0.0,0.0,0.0
8,"RANDRIASALAMA,TO",0.0,0.0,0.0,0.0
9,"MILON,EMANUEL",8.0,-9.0,198.0,6.0
10,"SERAPHIN,REGINALD JEAN",191.0,13.0,0.0,0.0
11,"SMITH,DANIEL",294.0,9.0,99.0,75.0
12,"CHRISTOPHER,NATHAN",0.0,0.0,0.0,0.0
