,lineup,made layup,missed layup,Assist,Turnover,defensive rebound,enters the game,goes to the bench,missed 3-pt. jump shot,Foul,Steal,made free throw,missed free throw,made jump shot,made 3-pt. jump shot,missed jump shot,offensive rebound
0,"('BRAZDEIKIS,AUGUSTAS', 'DORSEY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN')",2,2,2,1,4,0,0,1,4,2,2,2,1,3,0,2
1,"('BRAZDEIKIS,AUGUSTAS', 'DORSEY-HAVENS,AUBREY', 'OKADO,MARJOK', 'RILEY,BEN', 'SERAPHIN,REGINALD JEAN')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,"('BRAZDEIKIS,AUGUSTAS', 'DORSEY-HAVENS,AUBREY', 'OKADO,MARJOK', 'RILEY,BEN', 'SIMPSON,NOAH')",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3,"('BRAZDEIKIS,AUGUSTAS', 'DORSEY-HAVENS,AUBREY', 'OKADO,MARJOK', 'SERAPHIN,REGINALD JEAN', 'SMITH,DANIEL')",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
4,"('BRAZDEIKIS,AUGUSTAS', 'DORSEY-HAVENS,AUBREY', 'OKADO,MARJOK', 'SIMPSON,NOAH', 'UGBAH,EMMANUEL')",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
5,"('BRAZDEIKIS,AUGUSTAS', 'DORSEY-HAVENS,AUBREY', 'SIMPSON,NOAH', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
6,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,0,1,2,0,0,0,3,0,0,0,1,0,0,0
7,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",0,1,1,1,1,0,0,0,0,0,0,0,0,2,1,1
8,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'RILEY,BEN', 'SIMPSON,NOAH', 'SPENCER,XAVIER')",0,1,1,0,0,0,0,2,0,0,0,0,1,1,0,1
9,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'SERAPHIN,REGINALD JEAN', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
10,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'SIMPSON,NOAH', 'SMITH,DANIEL', 'SPENCER,XAVIER')",1,1,0,1,2,0,0,0,1,0,0,0,1,0,0,1
11,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'SIMPSON,NOAH', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",0,0,1,4,6,0,0,1,2,1,4,0,3,0,3,2
12,"('CHRISTOPHER,NATHAN', 'DORSEY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN')",0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0
13,"('CHRISTOPHER,NATHAN', 'DORSEY-HAVENS,AUBREY', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,"('CHRISTOPHER,NATHAN', 'DORSEY-HAVENS,AUBREY', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH', 'SMITH,DANIEL')",0,2,1,0,1,0,0,0,2,0,0,0,0,1,2,3
15,"('DORSEY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN', 'UGBAH,EMMANUEL')",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
