,,Lineup,PtScored,OffRtg,DefRtg,NetRtg,ptsconceded,global off possession,global def possession,efficiency,minutes,home/visitor,opponent
0,,"('BRAZDEIKIS,AUGUSTAS', 'DORSEY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN')",19.0,86.364,40.909,45.455,9.0,16.0,6.0,1.5463917525773196,6.47,Home,UQAM
1,,"('BRAZDEIKIS,AUGUSTAS', 'DORSEY-HAVENS,AUBREY', 'OKADO,MARJOK', 'RILEY,BEN', 'SERAPHIN,REGINALD JEAN')",0.0,0.000,0.000,0.000,0.0,0.0,1.0,-1.4285714285714286,0.70,Home,UQAM
2,,"('BRAZDEIKIS,AUGUSTAS', 'DORSEY-HAVENS,AUBREY', 'OKADO,MARJOK', 'RILEY,BEN', 'SIMPSON,NOAH')",2.0,100.000,100.000,0.000,2.0,2.0,0.0,5.454545454545454,0.37,Home,UQAM
3,,"('BRAZDEIKIS,AUGUSTAS', 'DORSEY-HAVENS,AUBREY', 'OKADO,MARJOK', 'SERAPHIN,REGINALD JEAN', 'SMITH,DANIEL')",0.0,0.000,300.000,-300.000,3.0,0.0,1.0,-3.5294117647058822,0.28,Home,UQAM
4,,"('BRAZDEIKIS,AUGUSTAS', 'DORSEY-HAVENS,AUBREY', 'OKADO,MARJOK', 'SIMPSON,NOAH', 'UGBAH,EMMANUEL')",0.0,0.000,0.000,0.000,0.0,0.0,1.0,-3.0,0.33,Home,UQAM
5,,"('BRAZDEIKIS,AUGUSTAS', 'DORSEY-HAVENS,AUBREY', 'SIMPSON,NOAH', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",2.0,50.000,0.000,50.000,0.0,2.0,2.0,0.0,1.87,Home,UQAM
6,,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL', 'SPENCER,XAVIER')",2.0,50.000,100.000,-50.000,4.0,3.0,1.0,1.411764705882353,1.42,Home,UQAM
7,,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",6.0,75.000,100.000,-25.000,8.0,5.0,3.0,0.8275862068965517,2.42,Home,UQAM
8,,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'RILEY,BEN', 'SIMPSON,NOAH', 'SPENCER,XAVIER')",5.0,71.429,71.429,0.000,5.0,4.0,3.0,0.5555555555555556,1.80,Home,UQAM
9,,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'SERAPHIN,REGINALD JEAN', 'SMITH,DANIEL', 'SPENCER,XAVIER')",3.0,300.000,0.000,300.000,0.0,1.0,0.0,1.6216216216216217,0.62,Home,UQAM
10,,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'SIMPSON,NOAH', 'SMITH,DANIEL', 'SPENCER,XAVIER')",4.0,57.143,0.000,57.143,0.0,5.0,2.0,1.7475728155339805,1.72,Home,UQAM
11,,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'SIMPSON,NOAH', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",8.0,33.333,29.167,4.167,7.0,16.0,8.0,1.708185053380783,4.68,Home,UQAM
12,,"('CHRISTOPHER,NATHAN', 'DORSEY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN')",1.0,20.000,80.000,-60.000,4.0,2.0,3.0,-1.3953488372093024,0.72,Home,UQAM
13,,"('CHRISTOPHER,NATHAN', 'DORSEY-HAVENS,AUBREY', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH')",0.0,0.000,0.000,0.000,0.0,0.0,1.0,-5.0,0.20,Home,UQAM
14,,"('CHRISTOPHER,NATHAN', 'DORSEY-HAVENS,AUBREY', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH', 'SMITH,DANIEL')",5.0,50.000,40.000,10.000,4.0,6.0,4.0,1.263157894736842,1.58,Home,UQAM
15,,"('DORSEY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN', 'UGBAH,EMMANUEL')",3.0,100.000,0.000,100.000,0.0,3.0,0.0,12.0,0.25,Home,UQAM
16,,"('DORSEY-HAVENS,AUBREY', 'MILON,EMANUEL', 'RANDRIASALAMA,TO', 'SMITH,DANIEL', 'UGBAH,EMMANUEL')",2.0,40.000,40.000,0.000,2.0,2.0,3.0,-0.8571428571428571,1.17,Home,UQAM
17,,"('DORSEY-HAVENS,AUBREY', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH', 'SMITH,DANIEL')",0.0,0.000,0.000,0.000,2.0,0.0,0.0,0.0,0.53,Home,UQAM
18,,"('DORSEY-HAVENS,AUBREY', 'RANDRIASALAMA,TO', 'SERAPHIN,REGINALD JEAN', 'SMITH,DANIEL', 'UGBAH,EMMANUEL')",4.0,200.000,200.000,0.000,4.0,2.0,0.0,1.3953488372093024,1.43,Home,UQAM
19,,"('DORSEY-HAVENS,AUBREY', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH', 'SMITH,DANIEL', 'UGBAH,EMMANUEL')",0.0,0.000,0.000,0.000,0.0,0.0,1.0,-2.608695652173913,0.38,Home,UQAM
20,,"('MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",2.0,100.000,50.000,50.000,1.0,1.0,1.0,0.0,1.67,Home,UQAM
21,,"('MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",2.0,100.000,150.000,-50.000,3.0,1.0,1.0,0.0,1.13,Home,UQAM
