,lineup,quarter1,quarter1,quarter1,quarter2,quarter2,quarter2,quarter3,quarter3,quarter3,quarter4,quarter4,quarter4,total,total,total
,lineup,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc
0,"('BRAZDEIKIS,AUGUSTAS', 'DORSEY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN')",182.0,9.0,4.0,0.0,0.0,0.0,206.0,10.0,5.0,0.0,0.0,0.0,388.0,19.0,9.0
1,"('BRAZDEIKIS,AUGUSTAS', 'DORSEY-HAVENS,AUBREY', 'OKADO,MARJOK', 'RILEY,BEN', 'SERAPHIN,REGINALD JEAN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,42.0,0.0,0.0
2,"('BRAZDEIKIS,AUGUSTAS', 'DORSEY-HAVENS,AUBREY', 'OKADO,MARJOK', 'RILEY,BEN', 'SIMPSON,NOAH')",22.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,2.0
3,"('BRAZDEIKIS,AUGUSTAS', 'DORSEY-HAVENS,AUBREY', 'OKADO,MARJOK', 'SERAPHIN,REGINALD JEAN', 'SMITH,DANIEL')",0.0,0.0,0.0,6.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,17.0,0.0,3.0
4,"('BRAZDEIKIS,AUGUSTAS', 'DORSEY-HAVENS,AUBREY', 'OKADO,MARJOK', 'SIMPSON,NOAH', 'UGBAH,EMMANUEL')",20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
5,"('BRAZDEIKIS,AUGUSTAS', 'DORSEY-HAVENS,AUBREY', 'SIMPSON,NOAH', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,2.0,0.0,112.0,2.0,0.0
6,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,2.0,53.0,0.0,2.0,85.0,2.0,4.0
7,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,6.0,8.0,145.0,6.0,8.0
8,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'RILEY,BEN', 'SIMPSON,NOAH', 'SPENCER,XAVIER')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,5.0,5.0,108.0,5.0,5.0
9,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'SERAPHIN,REGINALD JEAN', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0.0,0.0,0.0,0.0,0.0,0.0,37.0,3.0,0.0,0.0,0.0,0.0,37.0,3.0,0.0
10,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'SIMPSON,NOAH', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,4.0,0.0,103.0,4.0,0.0
11,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'SIMPSON,NOAH', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",109.0,2.0,2.0,164.0,6.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,281.0,8.0,7.0
12,"('CHRISTOPHER,NATHAN', 'DORSEY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN')",0.0,0.0,0.0,43.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,4.0
13,"('CHRISTOPHER,NATHAN', 'DORSEY-HAVENS,AUBREY', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH')",0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
