,player,made layup,missed layup,Assist,Turnover,defensive rebound,enters the game,goes to the bench,missed 3-pt. jump shot,Foul,Steal,made free throw,missed free throw,made jump shot,made 3-pt. jump shot,missed jump shot,offensive rebound
0,"SIMPSON,NOAH",0,0,1,1,2,4,6,0,4,1,2,0,1,0,5,3
1,"SPENCER,XAVIER",1,3,4,1,1,4,7,4,3,1,1,0,0,1,3,1
2,"BRAZDEIKIS,AUGUSTAS",1,1,0,2,2,3,4,1,3,1,0,0,4,0,0,2
3,"UGBAH,EMMANUEL",2,2,1,4,6,5,8,1,2,1,0,0,1,0,0,4
4,"OKADO,MARJOK",3,0,1,1,2,3,4,3,3,1,4,0,3,4,3,1
5,"DORSEY-HAVENS,AUBREY",0,1,0,3,1,8,4,3,1,1,3,2,0,4,1,1
6,"RILEY,BEN",0,1,1,0,1,5,4,0,2,1,0,0,0,0,0,0
7,"MILON,EMANUEL",0,0,1,1,5,6,5,0,4,0,2,0,1,0,0,2
8,"SERAPHIN,REGINALD JEAN",0,0,0,0,2,5,4,0,4,1,1,0,2,0,2,1
9,"RANDRIASALAMA,TO",0,3,0,0,0,3,2,0,0,0,0,0,0,0,0,2
10,"SMITH,DANIEL",2,1,0,2,3,4,3,1,1,0,1,1,1,0,0,0
11,"CHRISTOPHER,NATHAN",0,0,0,1,0,2,1,0,2,0,0,0,0,0,0,1
