,PtScored,ptsconceded,OffRtg,DefRtg,NetRtg,total off possession,total def possession,global efficiency,quarter2 last 5min efficiency,quarter4 last 5min efficiency,minutes,home/visitor,opponent,date,game_type
0,28.0,25.0,186.667,166.667,20.000,9,6,0.20179372197309417,Not in the time,-2.608695652173913,14.87,Home,UQAM,,
1,55.0,47.0,275.000,235.000,40.000,9,11,-0.0761904761904762,0.0,Not in the time,26.25,Home,UQAM,,
2,51.0,38.0,392.308,292.308,100.000,9,4,0.23622047244094488,Not in the time,Not in the time,21.17,Home,UQAM,,
3,50.0,44.0,238.095,209.524,28.571,14,7,0.28846153846153844,1.2060301507537687,Not in the time,24.27,Home,UQAM,,
4,77.0,58.0,308.000,232.000,76.000,18,7,0.3492063492063492,-1.592920353982301,0.2459016393442623,31.50,Home,UQAM,,
5,38.0,30.0,200.000,157.895,42.105,9,10,-0.0681044267877412,Not in the time,Not in the time,14.68,Home,UQAM,,
6,32.0,21.0,1066.667,700.000,366.667,2,1,0.08733624454148471,Not in the time,Not in the time,11.45,Home,UQAM,,
7,38.0,39.0,316.667,325.000,-8.333,11,1,0.594059405940594,0.0,0.0,16.83,Home,UQAM,,
8,25.0,13.0,312.500,162.500,150.000,6,2,0.4819277108433735,0.6282722513089005,Not in the time,8.30,Home,UQAM,,
9,12.0,21.0,240.000,420.000,-180.000,2,3,-0.12195121951219512,Not in the time,Not in the time,8.20,Home,UQAM,,
10,43.0,41.0,358.333,341.667,16.667,7,5,0.0995850622406639,0.8163265306122449,0.0,20.08,Home,UQAM,,
11,6.0,8.0,300.000,400.000,-100.000,1,1,0.0,Not in the time,Not in the time,2.40,Home,UQAM,,
