,player,quarter1,quarter1,quarter1,quarter2,quarter2,quarter2,quarter3,quarter3,quarter3,quarter4,quarter4,quarter4,total,total,total
,player,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc
0,"OKADO,MARJOK",349.0,16.0,10.0,578.0,20.0,18.0,419.0,24.0,11.0,544.0,17.0,19.0,1890.0,77.0,58.0
1,"UGBAH,EMMANUEL",395.0,8.0,10.0,554.0,19.0,17.0,213.0,13.0,5.0,294.0,10.0,12.0,1456.0,50.0,44.0
2,"SPENCER,XAVIER",267.0,3.0,8.0,554.0,19.0,17.0,196.0,14.0,3.0,558.0,19.0,19.0,1575.0,55.0,47.0
3,"BRAZDEIKIS,AUGUSTAS",302.0,13.0,8.0,167.0,6.0,5.0,294.0,15.0,10.0,507.0,17.0,15.0,1270.0,51.0,38.0
4,"SIMPSON,NOAH",259.0,4.0,7.0,164.0,6.0,5.0,109.0,5.0,4.0,360.0,13.0,9.0,892.0,28.0,25.0
5,"RILEY,BEN",188.0,14.0,6.0,143.0,3.0,5.0,206.0,10.0,5.0,150.0,5.0,5.0,687.0,32.0,21.0
6,"DORSEY-HAVENS,AUBREY",333.0,16.0,10.0,46.0,1.0,4.0,404.0,19.0,16.0,98.0,2.0,0.0,881.0,38.0,30.0
7,"KNIGHT,JACOB",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"RANDRIASALAMA,TO",283.0,3.0,10.0,22.0,0.0,3.0,187.0,9.0,8.0,0.0,0.0,0.0,492.0,12.0,21.0
9,"MILON,EMANUEL",341.0,15.0,11.0,219.0,5.0,11.0,252.0,12.0,7.0,198.0,6.0,10.0,1010.0,38.0,39.0
10,"SERAPHIN,REGINALD JEAN",0.0,0.0,0.0,217.0,9.0,5.0,239.0,16.0,8.0,42.0,0.0,0.0,498.0,25.0,13.0
11,"SMITH,DANIEL",283.0,3.0,10.0,293.0,11.0,11.0,380.0,23.0,14.0,249.0,6.0,6.0,1205.0,43.0,41.0
12,"CHRISTOPHER,NATHAN",0.0,0.0,0.0,43.0,1.0,4.0,101.0,5.0,4.0,0.0,0.0,0.0,144.0,6.0,8.0
