,player,quarter2,quarter2,quarter4,quarter4
,player,seconds,ptc,seconds,ptc
0,"OKADO,MARJOK",0.0,4.0,169.0,22.0
1,"UGBAH,EMMANUEL",114.0,7.0,1.0,-4.0
2,"SPENCER,XAVIER",138.0,8.0,36.0,20.0
3,"BRAZDEIKIS,AUGUSTAS",166.0,8.0,288.0,24.0
4,"SIMPSON,NOAH",0.0,0.0,260.0,28.0
5,"RILEY,BEN",11.0,0.0,0.0,0.0
6,"DOREY-HAVENS,AUBREY",0.0,0.0,0.0,0.0
7,"RANDRIASALAMA,TO",97.0,2.0,0.0,0.0
8,"LATIFF,WAZIR",236.0,10.0,210.0,25.0
9,"MILON,EMANUEL",11.0,0.0,0.0,0.0
10,"SERAPHIN,REGINALD JEAN",108.0,2.0,0.0,0.0
11,"SMITH,DANIEL",0.0,0.0,0.0,0.0
