,lineup,made layup,missed layup,Assist,Turnover,defensive rebound,enters the game,goes to the bench,missed 3-pt. jump shot,Foul,Steal,made free throw,missed free throw,made jump shot,made 3-pt. jump shot,missed jump shot,offensive rebound
0,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'OKADO,MARJOK')",0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
1,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'SPENCER,XAVIER')",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'UGBAH,EMMANUEL')",2,0,1,0,3,0,0,1,1,0,1,0,0,0,0,0
3,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'OKADO,MARJOK', 'SIMPSON,NOAH')",1,1,0,1,2,0,0,0,0,0,4,0,0,0,0,0
4,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'SERAPHIN,REGINALD JEAN', 'SPENCER,XAVIER')",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'SIMPSON,NOAH', 'SPENCER,XAVIER')",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL')",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SPENCER,XAVIER')",1,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0
8,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'UGBAH,EMMANUEL')",0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
9,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'OKADO,MARJOK', 'SIMPSON,NOAH', 'SPENCER,XAVIER')",1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
10,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'OKADO,MARJOK', 'SIMPSON,NOAH', 'UGBAH,EMMANUEL')",2,0,2,1,2,0,0,2,1,0,0,0,1,1,0,1
11,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'OKADO,MARJOK', 'SIMPSON,NOAH', 'SPENCER,XAVIER')",1,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0
13,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'RANDRIASALAMA,TO', 'SERAPHIN,REGINALD JEAN', 'SPENCER,XAVIER')",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
14,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'SIMPSON,NOAH', 'SMITH,DANIEL', 'SPENCER,XAVIER')",1,1,1,0,1,0,0,2,2,0,0,0,0,0,0,2
15,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SPENCER,XAVIER')",0,1,1,1,1,0,0,0,1,0,3,3,0,1,0,0
16,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'RANDRIASALAMA,TO', 'RILEY,BEN', 'SPENCER,XAVIER')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'RILEY,BEN', 'SIMPSON,NOAH', 'SPENCER,XAVIER')",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
