,,Lineup,PtScored,OffRtg,DefRtg,NetRtg,ptsconceded,global off possession,global def possession,efficiency,minutes,home/visitor,opponent
0,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'OKADO,MARJOK')",1.0,33.333,0.000,33.333,0.0,1.0,2.0,-2.142857142857143,0.47,Visitor,Guelph
1,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'SPENCER,XAVIER')",0.0,0.000,0.000,0.000,3.0,0.0,0.0,0.0,0.32,Visitor,Guelph
2,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'UGBAH,EMMANUEL')",5.0,62.500,0.000,62.500,0.0,7.0,1.0,3.75,1.60,Visitor,Guelph
3,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'OKADO,MARJOK', 'SIMPSON,NOAH')",6.0,66.667,22.222,44.444,2.0,7.0,2.0,2.255639097744361,2.22,Visitor,Guelph
4,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'SERAPHIN,REGINALD JEAN', 'SPENCER,XAVIER')",2.0,0.000,0.000,0.000,3.0,0.0,0.0,0.0,0.37,Visitor,Guelph
5,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'SIMPSON,NOAH', 'SPENCER,XAVIER')",0.0,0.000,300.000,-300.000,3.0,0.0,1.0,-1.4634146341463414,0.68,Visitor,Guelph
6,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL')",0.0,0.000,0.000,0.000,0.0,1.0,1.0,0.0,0.67,Visitor,Guelph
7,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SPENCER,XAVIER')",5.0,71.429,42.857,28.571,3.0,5.0,2.0,2.2222222222222223,1.35,Visitor,Guelph
8,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'UGBAH,EMMANUEL')",2.0,66.667,0.000,66.667,0.0,3.0,0.0,7.2,0.42,Visitor,Guelph
9,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'OKADO,MARJOK', 'SIMPSON,NOAH', 'SPENCER,XAVIER')",6.0,150.000,75.000,75.000,3.0,4.0,0.0,4.8,0.83,Visitor,Guelph
10,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'OKADO,MARJOK', 'SIMPSON,NOAH', 'UGBAH,EMMANUEL')",9.0,75.000,25.000,50.000,3.0,9.0,3.0,2.3376623376623376,2.57,Visitor,Guelph
11,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",0.0,0.000,200.000,-200.000,2.0,0.0,1.0,-10.0,0.10,Visitor,Guelph
12,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'OKADO,MARJOK', 'SIMPSON,NOAH', 'SPENCER,XAVIER')",5.0,100.000,0.000,100.000,0.0,5.0,0.0,2.912621359223301,1.72,Visitor,Guelph
13,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'RANDRIASALAMA,TO', 'SERAPHIN,REGINALD JEAN', 'SPENCER,XAVIER')",0.0,0.000,100.000,-100.000,2.0,1.0,1.0,0.0,1.43,Visitor,Guelph
14,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'SIMPSON,NOAH', 'SMITH,DANIEL', 'SPENCER,XAVIER')",2.0,25.000,37.500,-12.500,3.0,5.0,3.0,1.643835616438356,1.22,Visitor,Guelph
15,,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SPENCER,XAVIER')",6.0,54.545,63.636,-9.091,7.0,6.0,5.0,0.2127659574468085,4.70,Visitor,Guelph
16,,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'RANDRIASALAMA,TO', 'RILEY,BEN', 'SPENCER,XAVIER')",0.0,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.18,Visitor,Guelph
17,,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'RILEY,BEN', 'SIMPSON,NOAH', 'SPENCER,XAVIER')",0.0,0.000,66.667,-66.667,2.0,1.0,2.0,-1.3636363636363635,0.73,Visitor,Guelph
18,,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'SIMPSON,NOAH', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",16.0,72.727,77.273,-4.545,17.0,16.0,6.0,1.345291479820628,7.43,Visitor,Guelph
19,,"('BRAZDEIKIS,AUGUSTAS', 'RANDRIASALAMA,TO', 'RILEY,BEN', 'SIMPSON,NOAH', 'SPENCER,XAVIER')",4.0,66.667,66.667,0.000,4.0,4.0,2.0,1.263157894736842,1.58,Visitor,Guelph
20,,"('BRAZDEIKIS,AUGUSTAS', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",0.0,0.000,66.667,-66.667,2.0,1.0,2.0,-0.9523809523809523,1.05,Visitor,Guelph
