,player,made layup,missed layup,Assist,Turnover,defensive rebound,enters the game,goes to the bench,missed 3-pt. jump shot,Foul,Steal,made free throw,missed free throw,made jump shot,made 3-pt. jump shot,missed jump shot,offensive rebound
0,"OKADO,MARJOK",2,4,2,1,4,6,6,4,1,0,4,0,1,2,1,0
1,"SIMPSON,NOAH",4,0,1,0,8,2,5,0,3,0,0,0,0,0,0,2
2,"BRAZDEIKIS,AUGUSTAS",4,4,2,2,4,6,7,1,2,1,0,2,0,0,1,1
3,"SPENCER,XAVIER",2,1,5,3,2,5,7,2,4,2,6,1,0,0,1,0
4,"DOREY-HAVENS,AUBREY",3,1,1,2,2,7,4,4,2,0,7,2,0,2,0,0
5,"MILON,EMANUEL",3,1,0,1,3,6,3,0,4,1,3,0,0,0,0,4
6,"LATIFF,WAZIR",1,1,1,0,2,5,5,1,0,0,2,0,0,3,0,0
7,"UGBAH,EMMANUEL",0,1,1,1,3,5,7,0,1,1,0,0,0,0,0,0
8,"RILEY,BEN",0,0,0,1,0,2,2,1,1,0,0,0,0,0,0,0
9,"SERAPHIN,REGINALD JEAN",0,0,0,0,1,4,4,0,5,1,0,0,0,0,0,0
10,"RANDRIASALAMA,TO",2,1,0,0,1,3,2,0,1,0,0,0,0,0,0,1
11,"SMITH,DANIEL",0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0
