,player,quarter1,quarter1,quarter1,quarter2,quarter2,quarter2,quarter3,quarter3,quarter3,quarter4,quarter4,quarter4,total,total,total
,player,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc
0,"OKADO,MARJOK",252.0,12.0,7.0,489.0,18.0,21.0,265.0,7.0,7.0,559.0,28.0,16.0,1565.0,65.0,51.0
1,"UGBAH,EMMANUEL",411.0,17.0,9.0,338.0,13.0,12.0,242.0,10.0,8.0,192.0,6.0,8.0,1183.0,46.0,37.0
2,"SPENCER,XAVIER",430.0,14.0,14.0,393.0,16.0,21.0,280.0,4.0,16.0,355.0,20.0,14.0,1458.0,54.0,65.0
3,"BRAZDEIKIS,AUGUSTAS",498.0,21.0,13.0,374.0,14.0,19.0,439.0,12.0,16.0,408.0,22.0,11.0,1719.0,69.0,59.0
4,"SIMPSON,NOAH",377.0,14.0,13.0,227.0,8.0,10.0,300.0,9.0,13.0,395.0,20.0,11.0,1299.0,51.0,47.0
5,"RILEY,BEN",189.0,6.0,7.0,0.0,0.0,0.0,63.0,0.0,2.0,0.0,0.0,0.0,252.0,6.0,9.0
6,"DOREY-HAVENS,AUBREY",170.0,9.0,2.0,207.0,7.0,2.0,361.0,13.0,16.0,429.0,20.0,16.0,1167.0,49.0,36.0
7,"RANDRIASALAMA,TO",150.0,4.0,6.0,262.0,10.0,11.0,105.0,0.0,2.0,0.0,0.0,0.0,517.0,14.0,19.0
8,"LATIFF,WAZIR",198.0,7.0,3.0,111.0,5.0,2.0,316.0,8.0,19.0,457.0,16.0,11.0,1082.0,36.0,35.0
9,"MILON,EMANUEL",223.0,9.0,3.0,373.0,15.0,13.0,192.0,4.0,8.0,205.0,8.0,8.0,993.0,36.0,32.0
10,"SERAPHIN,REGINALD JEAN",102.0,2.0,3.0,226.0,9.0,4.0,155.0,2.0,10.0,0.0,0.0,0.0,483.0,13.0,17.0
11,"SMITH,DANIEL",0.0,0.0,0.0,0.0,0.0,0.0,173.0,2.0,8.0,0.0,0.0,0.0,173.0,2.0,8.0
