,player,quarter2,quarter2,quarter4,quarter4
,player,seconds,ptc,seconds,ptc
0,"OKADO,MARJOK",0.0,0.0,136.0,45.0
1,"SPENCER,XAVIER",22.0,0.0,0.0,0.0
2,"BRAZDEIKIS,AUGUSTAS",166.0,4.0,227.0,7.0
3,"SIMPSON,NOAH HOROBETZ",166.0,4.0,217.0,7.0
4,"SMITH,DANIEL",0.0,0.0,0.0,0.0
5,"DOREY-HAVENS,AUBREY",0.0,0.0,0.0,0.0
6,"KNIGHT,JACOB",166.0,4.0,0.0,0.0
7,"RANDRIASALAMA,TO",0.0,0.0,0.0,0.0
8,"LATIFF,WAZIR",0.0,0.0,136.0,45.0
9,"MILON,EMANUEL",112.0,3.0,58.0,40.0
10,"CONSTANT,RAPHAEL",0.0,0.0,0.0,0.0
11,"CHRISTOPHER,NATHAN",0.0,0.0,58.0,40.0
