,lineup,made layup,missed layup,Assist,Turnover,defensive rebound,enters the game,goes to the bench,missed 3-pt. jump shot,Foul,Steal,made free throw,missed free throw,made jump shot,made 3-pt. jump shot,missed jump shot,offensive rebound
0,"('BRAZDEIKIS,AUGUSTAS', 'CHRISTOPHER,NATHAN', 'DOREY-HAVENS,AUBREY', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1,"('BRAZDEIKIS,AUGUSTAS', 'CHRISTOPHER,NATHAN', 'KNIGHT,JACOB', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ')",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,"('BRAZDEIKIS,AUGUSTAS', 'CHRISTOPHER,NATHAN', 'LATIFF,WAZIR', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ')",0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1
3,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'KNIGHT,JACOB', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ')",0,1,1,1,1,0,0,1,0,1,2,1,1,0,0,1
4,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",2,2,0,1,2,0,0,1,3,1,2,0,0,0,0,1
7,"('BRAZDEIKIS,AUGUSTAS', 'KNIGHT,JACOB', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
8,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0
9,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",1,2,1,1,1,0,0,1,0,0,0,0,0,1,1,2
10,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL', 'SPENCER,XAVIER')",1,2,1,0,3,0,0,2,2,0,0,0,0,0,0,2
11,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",7,2,2,2,5,0,0,4,1,3,5,2,1,0,1,2
