,,Lineup,PtScored,OffRtg,DefRtg,NetRtg,ptsconceded,global off possession,global def possession,efficiency,minutes,home/visitor,opponent
0,,"('BRAZDEIKIS,AUGUSTAS', 'CHRISTOPHER,NATHAN', 'DOREY-HAVENS,AUBREY', 'SMITH,DANIEL', 'SPENCER,XAVIER')",2.0,100.000,0.000,100.000,0.0,2.0,0.0,12.0,0.17,Visitor,Laurentian
1,,"('BRAZDEIKIS,AUGUSTAS', 'CHRISTOPHER,NATHAN', 'KNIGHT,JACOB', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ')",0.0,0.000,0.000,0.000,0.0,0.0,1.0,-2.4,0.42,Visitor,Laurentian
2,,"('BRAZDEIKIS,AUGUSTAS', 'CHRISTOPHER,NATHAN', 'LATIFF,WAZIR', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ')",3.0,60.000,40.000,20.000,2.0,3.0,2.0,0.759493670886076,1.32,Visitor,Laurentian
3,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'KNIGHT,JACOB', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ')",4.0,40.000,40.000,0.000,4.0,6.0,4.0,0.8333333333333334,2.40,Visitor,Laurentian
4,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0.0,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.03,Visitor,Laurentian
5,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0.0,0.000,100.000,-100.000,2.0,1.0,1.0,0.0,0.57,Visitor,Laurentian
6,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",6.0,54.545,27.273,27.273,3.0,7.0,4.0,0.9137055837563451,3.28,Visitor,Laurentian
7,,"('BRAZDEIKIS,AUGUSTAS', 'KNIGHT,JACOB', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",2.0,100.000,0.000,100.000,0.0,1.0,1.0,0.0,1.17,Visitor,Laurentian
8,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",6.0,150.000,125.000,25.000,5.0,4.0,0.0,3.076923076923077,1.30,Visitor,Laurentian
9,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",5.0,45.455,63.636,-18.182,7.0,6.0,5.0,0.4580152671755725,2.18,Visitor,Laurentian
