,player,made layup,missed layup,Assist,Turnover,defensive rebound,enters the game,goes to the bench,missed 3-pt. jump shot,Foul,Steal,made free throw,missed free throw,made jump shot,made 3-pt. jump shot,missed jump shot,offensive rebound
0,"SIMPSON,NOAH HOROBETZ",7,5,0,2,4,5,6,0,0,0,3,2,0,1,1,3
1,"BRAZDEIKIS,AUGUSTAS",1,7,0,0,3,3,6,2,3,1,3,1,1,1,1,5
2,"SPENCER,XAVIER",3,1,5,0,3,3,4,7,3,1,4,0,0,2,1,1
3,"OKADO,MARJOK",1,1,2,2,1,4,6,1,1,0,0,0,1,1,0,1
4,"SMITH,DANIEL",0,0,0,1,3,2,4,2,2,1,0,0,0,0,0,0
5,"DOREY-HAVENS,AUBREY",1,0,1,2,2,5,2,3,0,1,9,0,0,3,0,0
6,"RANDRIASALAMA,TO",0,1,0,1,0,4,3,1,0,1,0,0,0,0,0,0
7,"CONSTANT,RAPHAEL",0,0,0,2,0,3,2,0,1,0,0,0,0,0,0,0
8,"LATIFF,WAZIR",0,0,3,1,0,4,3,1,1,0,0,0,0,0,0,0
9,"MILON,EMANUEL",1,1,0,0,0,6,5,0,0,0,1,1,0,0,0,1
10,"CHRISTOPHER,NATHAN",1,0,0,1,1,5,3,0,1,1,0,0,0,0,0,4
11,"KNIGHT,JACOB",0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0
