,PtScored,ptsconceded,OffRtg,DefRtg,NetRtg,total off possession,total def possession,global efficiency,quarter2 last 5min efficiency,quarter4 last 5min efficiency,minutes,home/visitor,opponent,date,game_type
0,60.0,57.0,214.286,203.571,10.714,18,10,0.2502606882168926,0.0,0.0,31.97,Visitor,Laurentian,,
1,49.0,43.0,196.000,172.000,24.000,14,11,0.11873350923482849,0.7228915662650602,0.2643171806167401,25.27,Visitor,Laurentian,,
2,63.0,52.0,233.333,192.593,40.741,18,9,0.2939575394665215,0.0,Not in the time,30.62,Visitor,Laurentian,,
3,39.0,40.0,354.545,363.636,-9.091,7,4,0.14551333872271624,Not in the time,0.4411764705882353,20.62,Visitor,Laurentian,,
4,40.0,37.0,666.667,616.667,50.000,3,3,0.0,Not in the time,Not in the time,21.08,Visitor,Laurentian,,
5,33.0,30.0,157.143,142.857,14.286,16,5,0.694006309148265,Not in the time,Not in the time,15.85,Visitor,Laurentian,,
6,13.0,17.0,433.333,566.667,-133.333,0,3,-0.40358744394618834,Not in the time,Not in the time,7.43,Visitor,Laurentian,,
7,9.0,19.0,450.000,950.000,-500.000,0,2,-0.2702702702702703,Not in the time,Not in the time,7.40,Visitor,Laurentian,,
8,34.0,37.0,680.000,740.000,-60.000,3,2,0.05352363960749331,Not in the time,0.4411764705882353,18.68,Visitor,Laurentian,,
9,15.0,16.0,300.000,320.000,-20.000,3,2,0.1271186440677966,0.0,0.0,7.87,Visitor,Laurentian,,
10,24.0,13.0,342.857,185.714,157.143,6,1,0.5415162454873647,Not in the time,1.0344827586206897,9.23,Visitor,Laurentian,,
11,6.0,4.0,120.000,80.000,40.000,3,2,0.2510460251046025,0.3614457831325301,Not in the time,3.98,Visitor,Laurentian,,
