,player,quarter1,quarter1,quarter1,quarter2,quarter2,quarter2,quarter3,quarter3,quarter3,quarter4,quarter4,quarter4,total,total,total
,player,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc
0,"OKADO,MARJOK",378.0,12.0,9.0,222.0,5.0,9.0,282.0,9.0,10.0,355.0,13.0,12.0,1237.0,39.0,40.0
1,"SPENCER,XAVIER",494.0,12.0,11.0,600.0,23.0,22.0,218.0,6.0,5.0,525.0,22.0,14.0,1837.0,63.0,52.0
2,"BRAZDEIKIS,AUGUSTAS",378.0,12.0,9.0,325.0,10.0,11.0,466.0,13.0,11.0,347.0,14.0,12.0,1516.0,49.0,43.0
3,"SIMPSON,NOAH HOROBETZ",494.0,12.0,11.0,560.0,23.0,20.0,405.0,11.0,11.0,459.0,14.0,15.0,1918.0,60.0,57.0
4,"SMITH,DANIEL",342.0,12.0,7.0,525.0,15.0,20.0,148.0,4.0,5.0,250.0,9.0,5.0,1265.0,40.0,37.0
5,"DOREY-HAVENS,AUBREY",106.0,2.0,7.0,247.0,13.0,6.0,278.0,9.0,9.0,320.0,9.0,8.0,951.0,33.0,30.0
6,"KNIGHT,JACOB",0.0,0.0,0.0,0.0,0.0,0.0,239.0,6.0,4.0,0.0,0.0,0.0,239.0,6.0,4.0
7,"RANDRIASALAMA,TO",258.0,2.0,11.0,75.0,8.0,2.0,79.0,3.0,2.0,34.0,0.0,2.0,446.0,13.0,17.0
8,"LATIFF,WAZIR",222.0,2.0,9.0,131.0,5.0,7.0,452.0,14.0,11.0,316.0,13.0,10.0,1121.0,34.0,37.0
9,"MILON,EMANUEL",106.0,2.0,7.0,40.0,0.0,2.0,195.0,7.0,5.0,131.0,6.0,2.0,472.0,15.0,16.0
10,"CONSTANT,RAPHAEL",222.0,2.0,9.0,88.0,2.0,5.0,134.0,5.0,5.0,0.0,0.0,0.0,444.0,9.0,19.0
11,"CHRISTOPHER,NATHAN",0.0,0.0,0.0,187.0,11.0,6.0,104.0,3.0,2.0,263.0,10.0,5.0,554.0,24.0,13.0
