,player,quarter2,quarter2,quarter4,quarter4
,player,seconds,ptc,seconds,ptc
0,"OKADO,MARJOK",0.0,0.0,0.0,0.0
1,"SPENCER,XAVIER",252.0,31.0,146.0,19.0
2,"BRAZDEIKIS,AUGUSTAS",0.0,0.0,193.0,19.0
3,"SIMPSON,NOAH HOROBETZ",214.0,28.0,193.0,19.0
4,"SMITH,DANIEL",111.0,22.0,146.0,19.0
5,"RILEY,BEN",0.0,0.0,0.0,0.0
6,"DOREY-HAVENS,AUBREY",0.0,0.0,146.0,19.0
7,"RANDRIASALAMA,TO",160.0,16.0,0.0,0.0
8,"LATIFF,WAZIR",252.0,31.0,0.0,0.0
9,"MILON,EMANUEL",0.0,0.0,0.0,0.0
10,"CONSTANT,RAPHAEL",0.0,0.0,0.0,0.0
11,"CHRISTOPHER,NATHAN",60.0,22.0,0.0,0.0
