,lineup,made layup,missed layup,Assist,Turnover,defensive rebound,enters the game,goes to the bench,missed 3-pt. jump shot,Foul,Steal,made free throw,missed free throw,made jump shot,made 3-pt. jump shot,missed jump shot,offensive rebound
0,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ')",0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RANDRIASALAMA,TO')",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL')",1,0,1,1,2,0,0,1,2,0,0,0,0,0,2,3
3,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ')",0,0,0,0,2,0,0,1,1,0,0,0,0,0,2,0
4,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",1,1,2,1,12,0,0,5,3,0,4,0,0,1,0,2
6,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'RANDRIASALAMA,TO', 'SPENCER,XAVIER')",0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0
7,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ')",0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0
9,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0,1,0,2,0,0,0,1,0,0,4,0,0,0,0,1
10,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'RILEY,BEN', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",1,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0
11,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,2,2,4,0,0,2,3,0,0,0,2,1,0,1
12,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'RILEY,BEN', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",2,0,0,0,2,0,0,1,1,0,0,0,1,0,1,1
13,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",3,2,1,3,5,0,0,1,0,1,1,1,3,0,2,3
14,"('CHRISTOPHER,NATHAN', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'RANDRIASALAMA,TO')",0,2,0,0,2,0,0,0,0,0,1,1,0,0,1,2
15,"('CHRISTOPHER,NATHAN', 'DOREY-HAVENS,AUBREY', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
