,,Lineup,PtScored,OffRtg,DefRtg,NetRtg,ptsconceded,global off possession,global def possession,efficiency,minutes,home/visitor,opponent
0,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ')",2.0,66.667,100.000,-33.333,3.0,2.0,1.0,1.5384615384615385,0.65,Visitor,McMaster
1,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RANDRIASALAMA,TO')",0.0,0.000,0.000,0.000,0.0,0.0,2.0,-6.315789473684211,0.32,Visitor,McMaster
2,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL')",2.0,18.182,18.182,0.000,2.0,7.0,4.0,1.5,2.00,Visitor,McMaster
3,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ')",0.0,0.000,40.000,-40.000,2.0,2.0,3.0,-1.5384615384615385,0.65,Visitor,McMaster
4,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",2.0,66.667,0.000,66.667,0.0,2.0,1.0,1.1320754716981132,0.88,Visitor,McMaster
5,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",9.0,31.034,6.897,24.138,2.0,22.0,7.0,2.6785714285714284,5.60,Visitor,McMaster
6,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'RANDRIASALAMA,TO', 'SPENCER,XAVIER')",0.0,0.000,150.000,-150.000,3.0,0.0,2.0,-3.1578947368421053,0.63,Visitor,McMaster
7,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0.0,0.000,200.000,-200.000,2.0,0.0,1.0,-1.3953488372093024,0.72,Visitor,McMaster
8,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ')",2.0,50.000,0.000,50.000,0.0,3.0,1.0,2.5531914893617023,0.78,Visitor,McMaster
9,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",4.0,44.444,66.667,-22.222,6.0,5.0,4.0,0.5263157894736842,1.90,Visitor,McMaster
10,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'RILEY,BEN', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",5.0,100.000,100.000,0.000,5.0,4.0,1.0,1.8181818181818181,1.65,Visitor,McMaster
11,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",7.0,50.000,28.571,21.429,4.0,10.0,4.0,2.208588957055215,2.72,Visitor,McMaster
12,,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'RILEY,BEN', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",6.0,75.000,50.000,25.000,4.0,6.0,2.0,1.6216216216216217,2.47,Visitor,McMaster
13,,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",13.0,52.000,44.000,8.000,11.0,16.0,9.0,1.0606060606060606,6.60,Visitor,McMaster
14,,"('CHRISTOPHER,NATHAN', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'RANDRIASALAMA,TO')",1.0,11.111,0.000,11.111,0.0,5.0,4.0,0.631578947368421,1.58,Visitor,McMaster
15,,"('CHRISTOPHER,NATHAN', 'DOREY-HAVENS,AUBREY', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0.0,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.07,Visitor,McMaster
16,,"('CHRISTOPHER,NATHAN', 'DOREY-HAVENS,AUBREY', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",2.0,40.000,40.000,0.000,2.0,3.0,2.0,1.3636363636363635,0.73,Visitor,McMaster
17,,"('CHRISTOPHER,NATHAN', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RANDRIASALAMA,TO')",2.0,33.333,100.000,-66.667,6.0,4.0,2.0,0.5607476635514018,3.57,Visitor,McMaster
18,,"('CHRISTOPHER,NATHAN', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN')",2.0,28.571,28.571,0.000,2.0,4.0,3.0,0.5454545454545454,1.83,Visitor,McMaster
