,lineup,quarter1,quarter1,quarter1,quarter2,quarter2,quarter2,quarter3,quarter3,quarter3,quarter4,quarter4,quarter4,total,total,total
,lineup,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc
0,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ')",39.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,2.0,3.0
1,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RANDRIASALAMA,TO')",0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
2,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL')",62.0,0.0,0.0,0.0,0.0,0.0,58.0,2.0,2.0,0.0,0.0,0.0,120.0,2.0,2.0
3,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ')",0.0,0.0,0.0,39.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,2.0
4,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",53.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,2.0,0.0
5,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,9.0,2.0,336.0,9.0,2.0
6,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'RANDRIASALAMA,TO', 'SPENCER,XAVIER')",0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,3.0,0.0,0.0,0.0,38.0,0.0,3.0
7,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'SMITH,DANIEL', 'SPENCER,XAVIER')",43.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,2.0
8,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,2.0,0.0,47.0,2.0,0.0
9,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",11.0,0.0,0.0,0.0,0.0,0.0,103.0,4.0,6.0,0.0,0.0,0.0,114.0,4.0,6.0
10,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'RILEY,BEN', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0.0,0.0,0.0,99.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,5.0,5.0
11,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0.0,0.0,0.0,0.0,0.0,0.0,163.0,7.0,4.0,0.0,0.0,0.0,163.0,7.0,4.0
12,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'RILEY,BEN', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0.0,0.0,0.0,148.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,6.0,4.0
13,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",260.0,9.0,9.0,109.0,4.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,396.0,13.0,11.0
