,player,made layup,missed layup,Assist,Turnover,defensive rebound,enters the game,goes to the bench,missed 3-pt. jump shot,Foul,Steal,made free throw,missed free throw,made jump shot,made 3-pt. jump shot,missed jump shot,offensive rebound
0,"SPENCER,XAVIER",0,2,2,4,3,4,6,5,1,2,4,1,0,0,1,0
1,"SIMPSON,NOAH HOROBETZ",3,1,1,1,5,4,7,0,4,0,1,1,1,0,0,2
2,"SMITH,DANIEL",2,1,2,2,3,5,7,1,2,0,2,0,0,0,2,4
3,"OKADO,MARJOK",1,0,0,1,3,6,8,4,0,0,0,0,3,0,2,0
4,"RANDRIASALAMA,TO",0,2,1,0,3,6,4,4,1,0,0,0,0,0,0,1
5,"LATIFF,WAZIR",0,0,0,1,0,7,5,0,0,0,2,0,0,3,1,0
6,"DOREY-HAVENS,AUBREY",0,0,1,1,3,8,6,4,3,0,2,0,0,1,2,1
7,"CHRISTOPHER,NATHAN",0,2,2,0,0,5,3,0,0,0,1,1,0,0,0,3
8,"BRAZDEIKIS,AUGUSTAS",3,1,1,6,11,4,6,1,1,1,6,2,2,0,4,5
9,"MILON,EMANUEL",2,0,0,1,3,6,3,0,2,0,0,0,0,0,1,3
10,"RILEY,BEN",0,0,0,0,0,2,2,0,1,0,0,0,0,0,1,0
11,"CONSTANT,RAPHAEL",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
