,PtScored,ptsconceded,OffRtg,DefRtg,NetRtg,total off possession,total def possession,global efficiency,quarter2 last 5min efficiency,quarter4 last 5min efficiency,minutes,home/visitor,opponent,date,game_type
0,51.0,57.0,231.818,259.091,-27.273,9,13,-0.140597539543058,0.0,0.821917808219178,28.45,Visitor,McMaster,,
1,56.0,57.0,350.000,356.250,-6.250,13,3,0.34285714285714286,0.5607476635514018,0.9326424870466321,29.17,Visitor,McMaster,,
2,39.0,36.0,205.263,189.474,15.789,13,6,0.3074670571010249,0.0,1.643835616438356,22.77,Visitor,McMaster,,
3,30.0,37.0,214.286,264.286,-50.000,7,7,0.0,Not in the time,Not in the time,20.05,Visitor,McMaster,,
4,12.0,33.0,109.091,300.000,-190.909,5,6,-0.08862629246676514,-0.75,Not in the time,11.28,Visitor,McMaster,,
5,30.0,52.0,428.571,742.857,-314.286,5,2,0.15,0.9523809523809523,Not in the time,20.00,Visitor,McMaster,,
6,19.0,24.0,126.667,160.000,-33.333,8,7,0.06711409395973154,Not in the time,-0.821917808219178,14.90,Visitor,McMaster,,
7,11.0,23.0,122.222,255.556,-133.333,6,3,0.3103448275862069,1.0,Not in the time,9.67,Visitor,McMaster,,
8,52.0,44.0,123.810,104.762,19.048,28,14,0.5169230769230769,Not in the time,1.2435233160621761,27.08,Visitor,McMaster,,
9,7.0,18.0,70.000,180.000,-110.000,8,2,0.656934306569343,Not in the time,Not in the time,9.13,Visitor,McMaster,,
10,13.0,11.0,1300.000,1100.000,200.000,0,1,-0.16806722689075632,Not in the time,Not in the time,5.95,Visitor,McMaster,,
11,0.0,8.0,0.000,0.000,0.000,0,0,0.0,Not in the time,Not in the time,1.55,Visitor,McMaster,,
