,player,quarter1,quarter1,quarter1,quarter2,quarter2,quarter2,quarter3,quarter3,quarter3,quarter4,quarter4,quarter4,total,total,total
,player,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc
0,"OKADO,MARJOK",375.0,11.0,9.0,387.0,10.0,13.0,177.0,3.0,7.0,264.0,6.0,8.0,1203.0,30.0,37.0
1,"SPENCER,XAVIER",351.0,10.0,13.0,468.0,17.0,16.0,552.0,15.0,26.0,336.0,9.0,2.0,1707.0,51.0,57.0
2,"BRAZDEIKIS,AUGUSTAS",468.0,13.0,14.0,395.0,15.0,13.0,379.0,13.0,15.0,383.0,11.0,2.0,1625.0,52.0,44.0
3,"SIMPSON,NOAH HOROBETZ",400.0,14.0,14.0,555.0,17.0,23.0,412.0,14.0,18.0,383.0,11.0,2.0,1750.0,56.0,57.0
4,"SMITH,DANIEL",418.0,11.0,11.0,176.0,6.0,4.0,436.0,13.0,19.0,336.0,9.0,2.0,1366.0,39.0,36.0
5,"RILEY,BEN",0.0,0.0,0.0,247.0,11.0,9.0,0.0,0.0,0.0,110.0,2.0,2.0,357.0,13.0,11.0
6,"DOREY-HAVENS,AUBREY",249.0,5.0,3.0,153.0,2.0,10.0,156.0,3.0,9.0,336.0,9.0,2.0,894.0,19.0,24.0
7,"RANDRIASALAMA,TO",182.0,4.0,5.0,177.0,0.0,13.0,164.0,4.0,9.0,154.0,4.0,6.0,677.0,12.0,33.0
8,"LATIFF,WAZIR",225.0,4.0,7.0,192.0,5.0,13.0,519.0,15.0,24.0,264.0,6.0,8.0,1200.0,30.0,52.0
9,"MILON,EMANUEL",200.0,1.0,2.0,45.0,0.0,3.0,86.0,2.0,5.0,217.0,4.0,8.0,548.0,7.0,18.0
10,"CONSTANT,RAPHAEL",0.0,0.0,0.0,93.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,8.0
11,"CHRISTOPHER,NATHAN",132.0,2.0,2.0,112.0,2.0,5.0,119.0,3.0,8.0,217.0,4.0,8.0,580.0,11.0,23.0
