,player,quarter2,quarter2,quarter4,quarter4
,player,seconds,ptc,seconds,ptc
0,"OKADO,MARJOK",59.0,-7.0,0.0,0.0
1,"SPENCER,XAVIER",0.0,0.0,171.0,32.0
2,"BRAZDEIKIS,AUGUSTAS",97.0,-7.0,0.0,0.0
3,"SIMPSON,NOAH HOROBETZ",76.0,17.0,0.0,0.0
4,"SMITH,DANIEL",76.0,17.0,38.0,32.0
5,"DOREY-HAVENS,AUBREY",38.0,15.0,0.0,0.0
6,"KNIGHT,JACOB",0.0,0.0,0.0,0.0
7,"RANDRIASALAMA,TO",72.0,-5.0,0.0,0.0
8,"LATIFF,WAZIR",76.0,17.0,0.0,0.0
9,"MILON,EMANUEL",59.0,-7.0,150.0,32.0
10,"CONSTANT,RAPHAEL",38.0,15.0,0.0,0.0
11,"CHRISTOPHER,NATHAN",13.0,-5.0,0.0,0.0
