,lineup,made layup,missed layup,Assist,Turnover,defensive rebound,enters the game,goes to the bench,missed 3-pt. jump shot,Foul,Steal,made free throw,missed free throw,made jump shot,made 3-pt. jump shot,missed jump shot,offensive rebound
0,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",1,0,1,1,2,0,0,2,0,0,1,0,0,0,0,1
1,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RANDRIASALAMA,TO')",1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
2,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'RANDRIASALAMA,TO', 'SPENCER,XAVIER')",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
4,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'RANDRIASALAMA,TO', 'SMITH,DANIEL')",2,0,0,1,1,0,0,2,1,0,0,0,0,0,2,4
5,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'SMITH,DANIEL', 'SPENCER,XAVIER')",2,0,3,0,1,0,0,1,2,0,0,0,1,0,0,1
6,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",1,1,0,1,2,0,0,1,3,0,1,1,0,0,0,1
7,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SPENCER,XAVIER')",0,2,1,1,5,0,0,3,2,0,2,0,1,0,1,1
8,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'RANDRIASALAMA,TO', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0
9,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",2,2,1,2,3,0,0,1,0,0,1,0,0,1,0,1
10,"('BRAZDEIKIS,AUGUSTAS', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",2,1,2,1,3,0,0,1,1,0,0,0,1,2,1,3
11,"('CHRISTOPHER,NATHAN', 'DOREY-HAVENS,AUBREY', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,"('CHRISTOPHER,NATHAN', 'KNIGHT,JACOB', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ')",1,0,1,0,0,0,0,1,1,0,0,0,0,0,2,1
13,"('CHRISTOPHER,NATHAN', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'RANDRIASALAMA,TO', 'SPENCER,XAVIER')",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14,"('CHRISTOPHER,NATHAN', 'LATIFF,WAZIR', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0
15,"('CHRISTOPHER,NATHAN', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SPENCER,XAVIER')",1,1,2,1,2,0,0,1,1,2,0,0,0,2,0,1
16,"('CHRISTOPHER,NATHAN', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,"('CHRISTOPHER,NATHAN', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",1,3,3,1,3,0,0,1,1,0,0,1,0,3,0,1
18,"('CONSTANT,RAPHAEL', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",2,1,0,1,1,0,0,0,1,1,1,1,0,0,0,2
19,"('CONSTANT,RAPHAEL', 'DOREY-HAVENS,AUBREY', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",1,0,1,1,1,0,0,1,1,1,2,1,0,0,0,1
20,"('OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",1,0,2,1,2,0,0,0,0,1,0,0,0,2,0,0
