,,Lineup,PtScored,OffRtg,DefRtg,NetRtg,ptsconceded,global off possession,global def possession,efficiency,minutes,home/visitor,opponent
0,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",3.0,33.333,55.556,-22.222,5.0,6.0,3.0,1.44,2.08,Visitor,Nipissing
1,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RANDRIASALAMA,TO')",2.0,50.000,50.000,0.000,2.0,2.0,2.0,0.0,1.37,Visitor,Nipissing
2,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'RANDRIASALAMA,TO', 'SPENCER,XAVIER')",0.0,0.000,0.000,0.000,0.0,0.0,1.0,-1.5789473684210527,0.63,Visitor,Nipissing
3,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",2.0,100.000,100.000,0.000,2.0,1.0,1.0,0.0,0.78,Visitor,Nipissing
4,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'RANDRIASALAMA,TO', 'SMITH,DANIEL')",4.0,33.333,58.333,-25.000,7.0,7.0,5.0,1.8181818181818181,1.10,Visitor,Nipissing
5,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'SMITH,DANIEL', 'SPENCER,XAVIER')",6.0,66.667,33.333,33.333,3.0,8.0,1.0,3.652173913043478,1.92,Visitor,Nipissing
6,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",3.0,33.333,44.444,-11.111,4.0,5.0,4.0,0.7894736842105263,1.27,Visitor,Nipissing
7,,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SPENCER,XAVIER')",4.0,23.529,11.765,11.765,2.0,10.0,7.0,0.8866995073891626,3.38,Visitor,Nipissing
8,,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'RANDRIASALAMA,TO', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0.0,0.000,0.000,0.000,0.0,2.0,3.0,-0.8695652173913043,1.15,Visitor,Nipissing
9,,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",7.0,50.000,64.286,-14.286,9.0,9.0,5.0,1.0909090909090908,3.67,Visitor,Nipissing
10,,"('BRAZDEIKIS,AUGUSTAS', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",12.0,70.588,23.529,47.059,4.0,13.0,4.0,2.1774193548387095,4.13,Visitor,Nipissing
11,,"('CHRISTOPHER,NATHAN', 'DOREY-HAVENS,AUBREY', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0.0,0.000,0.000,0.000,2.0,0.0,0.0,0.0,0.22,Visitor,Nipissing
12,,"('CHRISTOPHER,NATHAN', 'KNIGHT,JACOB', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ')",2.0,33.333,50.000,-16.667,3.0,3.0,3.0,0.0,4.30,Visitor,Nipissing
13,,"('CHRISTOPHER,NATHAN', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'RANDRIASALAMA,TO', 'SPENCER,XAVIER')",0.0,0.000,0.000,0.000,0.0,2.0,1.0,2.727272727272727,0.37,Visitor,Nipissing
14,,"('CHRISTOPHER,NATHAN', 'LATIFF,WAZIR', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",5.0,100.000,40.000,60.000,2.0,5.0,0.0,4.109589041095891,1.22,Visitor,Nipissing
15,,"('CHRISTOPHER,NATHAN', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SPENCER,XAVIER')",8.0,72.727,0.000,72.727,0.0,8.0,3.0,2.1739130434782608,2.30,Visitor,Nipissing
16,,"('CHRISTOPHER,NATHAN', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0.0,0.000,0.000,0.000,0.0,0.0,1.0,-0.6666666666666666,1.50,Visitor,Nipissing
17,,"('CHRISTOPHER,NATHAN', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",11.0,64.706,23.529,41.176,4.0,11.0,6.0,0.8928571428571429,5.60,Visitor,Nipissing
18,,"('CONSTANT,RAPHAEL', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",5.0,55.556,44.444,11.111,4.0,6.0,3.0,1.2949640287769784,2.32,Visitor,Nipissing
19,,"('CONSTANT,RAPHAEL', 'DOREY-HAVENS,AUBREY', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",4.0,44.444,55.556,-11.111,5.0,6.0,3.0,0.5921052631578947,5.07,Visitor,Nipissing
20,,"('OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",8.0,100.000,0.000,100.000,0.0,7.0,1.0,4.044943820224719,1.48,Visitor,Nipissing
