,player,made layup,missed layup,Assist,Turnover,defensive rebound,enters the game,goes to the bench,missed 3-pt. jump shot,Foul,Steal,made free throw,missed free throw,made jump shot,made 3-pt. jump shot,missed jump shot,offensive rebound
0,"SMITH,DANIEL",3,0,2,1,1,4,6,0,2,1,2,0,0,0,2,4
1,"BRAZDEIKIS,AUGUSTAS",1,0,2,4,4,4,7,3,2,0,0,0,3,1,0,2
2,"SPENCER,XAVIER",2,4,6,5,8,3,4,5,1,2,1,1,1,5,2,0
3,"OKADO,MARJOK",0,4,3,1,1,4,6,4,0,1,2,0,0,1,1,0
4,"SIMPSON,NOAH HOROBETZ",7,2,0,1,4,5,5,0,3,0,3,3,0,0,0,7
5,"CHRISTOPHER,NATHAN",0,0,0,0,0,6,4,0,1,0,0,0,0,0,1,3
6,"RANDRIASALAMA,TO",0,3,2,0,6,7,4,3,2,0,0,0,0,4,0,1
7,"MILON,EMANUEL",3,0,1,1,4,5,5,0,1,0,0,0,0,0,0,2
8,"LATIFF,WAZIR",0,0,2,1,1,5,5,1,4,0,0,0,0,0,0,0
9,"DOREY-HAVENS,AUBREY",3,1,0,1,1,4,3,1,0,1,0,0,0,0,0,0
10,"CONSTANT,RAPHAEL",0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0
11,"KNIGHT,JACOB",0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
