,PtScored,ptsconceded,OffRtg,DefRtg,NetRtg,total off possession,total def possession,global efficiency,quarter2 last 5min efficiency,quarter4 last 5min efficiency,minutes,home/visitor,opponent,date,game_type
0,54.0,43.0,360.000,286.667,73.333,12,3,0.3848895224518888,2.3684210526315788,0.0,23.38,Visitor,Nipissing,,
1,43.0,38.0,215.000,190.000,25.000,13,7,0.28662420382165604,0.0,Not in the time,20.93,Visitor,Nipissing,,
2,68.0,35.0,170.000,87.500,82.500,23,17,0.1986754966887417,Not in the time,-0.3508771929824561,30.20,Visitor,Nipissing,,
3,42.0,20.0,247.059,117.647,129.412,7,10,-0.144,0.0,Not in the time,20.83,Visitor,Nipissing,,
4,62.0,44.0,229.630,162.963,66.667,21,6,0.570703868103995,0.7894736842105263,Not in the time,26.28,Visitor,Nipissing,,
5,26.0,11.0,650.000,275.000,375.000,3,1,0.15706806282722513,0.0,Not in the time,12.73,Visitor,Nipissing,,
6,58.0,28.0,305.263,147.368,157.895,13,6,0.28320971004720163,0.8333333333333334,Not in the time,24.72,Visitor,Nipissing,,
7,24.0,14.0,218.182,127.273,90.909,10,1,0.6561360874848117,0.0,0.0,13.72,Visitor,Nipissing,,
8,26.0,25.0,520.000,500.000,20.000,3,2,0.09740259740259741,0.0,Not in the time,10.27,Visitor,Nipissing,,
9,16.0,20.0,228.571,285.714,-57.143,4,3,0.10067114093959731,-1.5789473684210527,Not in the time,9.93,Visitor,Nipissing,,
10,9.0,9.0,900.000,900.000,0.000,1,0,0.20618556701030927,1.5789473684210527,Not in the time,4.85,Visitor,Nipissing,,
11,2.0,3.0,100.000,150.000,-50.000,1,1,0.0,Not in the time,Not in the time,2.15,Visitor,Nipissing,,
