,lineup,made layup,missed layup,Assist,Turnover,defensive rebound,enters the game,goes to the bench,missed 3-pt. jump shot,Foul,Steal,made free throw,missed free throw,made jump shot,made 3-pt. jump shot,missed jump shot,offensive rebound
0,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0
1,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL')",0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
3,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0
4,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,2,1,4,0,0,2,3,0,5,0,2,1,7,7
6,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",0,0,3,5,8,0,0,4,4,0,0,3,3,2,0,0
7,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
8,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,2,5,3,0,0,3,1,0,1,1,1,1,1,1
9,"('DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'SERAPHIN,REGINALD JEAN', 'SMITH,DANIEL')",0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
10,"('DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'SERAPHIN,REGINALD JEAN', 'UGBAH,EMMANUEL')",0,0,2,1,2,0,0,1,1,0,0,0,1,1,1,1
11,"('DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'SERAPHIN,REGINALD JEAN', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
12,"('DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SERAPHIN,REGINALD JEAN', 'SMITH,DANIEL')",0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0
13,"('DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0,0,1,0,2,0,0,1,1,0,0,0,1,0,2,1
14,"('DOREY-HAVENS,AUBREY', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'UGBAH,EMMANUEL')",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
15,"('LATIFF,WAZIR', 'MILON,EMANUEL', 'SERAPHIN,REGINALD JEAN', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
16,"('LATIFF,WAZIR', 'MILON,EMANUEL', 'SMITH,DANIEL', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
17,"('LATIFF,WAZIR', 'SERAPHIN,REGINALD JEAN', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,0,1,2,0,0,1,3,0,0,0,0,0,2,0
18,"('LATIFF,WAZIR', 'SERAPHIN,REGINALD JEAN', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",0,0,2,1,3,0,0,1,0,0,0,0,3,1,0,0
19,"('LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,"('MILON,EMANUEL', 'OKADO,MARJOK', 'SERAPHIN,REGINALD JEAN', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,0,0,3,0,0,1,1,0,2,0,1,0,2,2
21,"('MILON,EMANUEL', 'OKADO,MARJOK', 'SERAPHIN,REGINALD JEAN', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
22,"('OKADO,MARJOK', 'SERAPHIN,REGINALD JEAN', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,1,3,2,0,0,1,1,1,1,0,0,1,2,0
23,"('OKADO,MARJOK', 'SERAPHIN,REGINALD JEAN', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
