,,Lineup,PtScored,OffRtg,DefRtg,NetRtg,ptsconceded,global off possession,global def possession,efficiency,minutes,home/visitor,opponent
0,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",3.0,75.000,75.000,0.000,3.0,3.0,1.0,1.935483870967742,1.03,Visitor,Ottawa
1,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",2.0,100.000,0.000,100.000,0.0,1.0,1.0,0.0,0.05,Visitor,Ottawa
2,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL')",3.0,75.000,0.000,75.000,0.0,3.0,1.0,2.5531914893617023,0.78,Visitor,Ottawa
3,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",0.0,0.000,166.667,-166.667,5.0,0.0,3.0,-2.769230769230769,1.08,Visitor,Ottawa
4,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0.0,0.000,0.000,0.000,0.0,0.0,1.0,-3.5294117647058822,0.28,Visitor,Ottawa
5,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",12.0,38.710,22.581,16.129,7.0,21.0,10.0,2.2,5.00,Visitor,Ottawa
6,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",9.0,32.143,67.857,-35.714,19.0,16.0,12.0,0.4897959183673469,8.17,Visitor,Ottawa
7,,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL', 'SPENCER,XAVIER')",3.0,100.000,33.333,66.667,1.0,2.0,1.0,2.3076923076923075,0.43,Visitor,Ottawa
8,,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",6.0,31.579,57.895,-26.316,11.0,9.0,10.0,-0.2158273381294964,4.63,Visitor,Ottawa
9,,"('DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'SERAPHIN,REGINALD JEAN', 'SMITH,DANIEL')",2.0,66.667,0.000,66.667,0.0,2.0,1.0,1.2244897959183674,0.82,Visitor,Ottawa
10,,"('DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'SERAPHIN,REGINALD JEAN', 'UGBAH,EMMANUEL')",5.0,50.000,20.000,30.000,2.0,7.0,3.0,1.7142857142857142,2.33,Visitor,Ottawa
11,,"('DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'SERAPHIN,REGINALD JEAN', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",2.0,200.000,300.000,-100.000,3.0,1.0,0.0,2.4,0.42,Visitor,Ottawa
12,,"('DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SERAPHIN,REGINALD JEAN', 'SMITH,DANIEL')",2.0,50.000,0.000,50.000,0.0,3.0,1.0,3.0,0.67,Visitor,Ottawa
13,,"('DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",2.0,25.000,0.000,25.000,0.0,5.0,3.0,1.791044776119403,1.12,Visitor,Ottawa
14,,"('DOREY-HAVENS,AUBREY', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'UGBAH,EMMANUEL')",0.0,0.000,0.000,0.000,0.0,2.0,2.0,0.0,0.70,Visitor,Ottawa
15,,"('LATIFF,WAZIR', 'MILON,EMANUEL', 'SERAPHIN,REGINALD JEAN', 'SMITH,DANIEL', 'SPENCER,XAVIER')",2.0,200.000,0.000,200.000,0.0,1.0,0.0,1.7142857142857142,0.58,Visitor,Ottawa
16,,"('LATIFF,WAZIR', 'MILON,EMANUEL', 'SMITH,DANIEL', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",3.0,150.000,350.000,-200.000,7.0,1.0,1.0,0.0,1.17,Visitor,Ottawa
17,,"('LATIFF,WAZIR', 'SERAPHIN,REGINALD JEAN', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0.0,0.000,50.000,-50.000,3.0,2.0,4.0,-0.96,2.08,Visitor,Ottawa
18,,"('LATIFF,WAZIR', 'SERAPHIN,REGINALD JEAN', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",9.0,81.818,63.636,18.182,7.0,9.0,2.0,1.7573221757322175,3.98,Visitor,Ottawa
19,,"('LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",0.0,0.000,0.000,0.000,0.0,0.0,1.0,-1.2,0.83,Visitor,Ottawa
20,,"('MILON,EMANUEL', 'OKADO,MARJOK', 'SERAPHIN,REGINALD JEAN', 'SMITH,DANIEL', 'SPENCER,XAVIER')",4.0,36.364,18.182,18.182,2.0,8.0,3.0,2.6315789473684212,1.90,Visitor,Ottawa
21,,"('MILON,EMANUEL', 'OKADO,MARJOK', 'SERAPHIN,REGINALD JEAN', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",0.0,0.000,50.000,-50.000,1.0,0.0,2.0,-2.0338983050847457,0.98,Visitor,Ottawa
22,,"('OKADO,MARJOK', 'SERAPHIN,REGINALD JEAN', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",4.0,36.364,36.364,0.000,4.0,5.0,6.0,-0.47244094488188976,2.12,Visitor,Ottawa
