,player,made layup,missed layup,Assist,Turnover,defensive rebound,enters the game,goes to the bench,missed 3-pt. jump shot,Foul,Steal,made free throw,missed free throw,made jump shot,made 3-pt. jump shot,missed jump shot,offensive rebound
0,"SPENCER,XAVIER",0,0,6,7,7,4,4,8,0,1,1,0,3,4,4,1
1,"SIMPSON,NOAH HOROBETZ",0,0,1,4,13,4,5,0,1,0,0,0,2,0,2,4
2,"LATIFF,WAZIR",0,0,3,1,4,5,5,3,4,0,1,1,6,2,4,0
3,"UGBAH,EMMANUEL",0,0,1,1,2,8,9,0,2,0,0,3,0,0,0,1
4,"BRAZDEIKIS,AUGUSTAS",0,0,1,0,2,5,9,0,4,0,1,1,1,0,4,2
5,"SERAPHIN,REGINALD JEAN",0,0,0,0,0,7,5,1,4,0,0,0,1,0,5,2
6,"SMITH,DANIEL",0,0,1,2,3,9,6,2,2,0,7,0,1,0,3,2
7,"DOREY-HAVENS,AUBREY",0,0,3,2,1,5,5,3,3,0,0,0,1,1,2,1
8,"MILON,EMANUEL",0,0,0,0,1,5,4,0,3,0,0,0,1,0,1,0
9,"OKADO,MARJOK",0,0,0,2,3,6,6,2,1,2,0,1,2,3,1,0
