,PtScored,ptsconceded,OffRtg,DefRtg,NetRtg,total off possession,total def possession,global efficiency,quarter2 last 5min efficiency,quarter4 last 5min efficiency,minutes,home/visitor,opponent,date,game_type
0,58.0,64.0,141.463,156.098,-14.634,22,19,0.09326424870466321,1.2,Not in the time,32.17,Visitor,Ottawa,,
1,51.0,64.0,196.154,246.154,-50.000,20,6,0.45901639344262296,Not in the time,0.75,30.50,Visitor,Ottawa,,
2,49.0,51.0,196.000,204.000,-8.000,16,9,0.2845528455284553,Not in the time,Not in the time,24.60,Visitor,Ottawa,,
3,28.0,38.0,350.000,475.000,-125.000,4,4,0.0,0.594059405940594,0.0,17.37,Visitor,Ottawa,,
4,38.0,46.0,316.667,383.333,-66.667,7,5,0.09316770186335403,Not in the time,-0.25,21.47,Visitor,Ottawa,,
5,32.0,24.0,355.556,266.667,88.889,3,6,-0.19607843137254902,Not in the time,Not in the time,15.30,Visitor,Ottawa,,
6,32.0,42.0,152.381,200.000,-47.619,14,7,0.35294117647058826,0.0,1.3333333333333333,19.83,Visitor,Ottawa,,
7,21.0,13.0,150.000,92.857,57.143,7,7,0.0,0.0,-20.0,9.00,Visitor,Ottawa,,
8,26.0,13.0,866.667,433.333,433.333,2,1,0.09419152276295134,0.0,0.0,10.62,Visitor,Ottawa,,
9,26.0,26.0,185.714,185.714,0.000,8,6,0.1275239107332625,0.0,0.0,15.68,Visitor,Ottawa,,
