,player,quarter1,quarter1,quarter1,quarter2,quarter2,quarter2,quarter3,quarter3,quarter3,quarter4,quarter4,quarter4,total,total,total
,player,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc
0,"UGBAH,EMMANUEL",392.0,12.0,12.0,274.0,9.0,6.0,196.0,4.0,7.0,180.0,3.0,13.0,1042.0,28.0,38.0
1,"SPENCER,XAVIER",439.0,17.0,13.0,398.0,10.0,14.0,558.0,16.0,16.0,535.0,15.0,21.0,1930.0,58.0,64.0
2,"LATIFF,WAZIR",407.0,16.0,14.0,367.0,12.0,10.0,212.0,6.0,8.0,490.0,15.0,19.0,1476.0,49.0,51.0
3,"BRAZDEIKIS,AUGUSTAS",334.0,11.0,10.0,414.0,13.0,17.0,44.0,2.0,0.0,496.0,12.0,19.0,1288.0,38.0,46.0
4,"SIMPSON,NOAH HOROBETZ",358.0,14.0,14.0,460.0,13.0,17.0,472.0,12.0,14.0,540.0,12.0,19.0,1830.0,51.0,64.0
5,"OKADO,MARJOK",193.0,10.0,2.0,233.0,6.0,9.0,388.0,10.0,8.0,127.0,0.0,7.0,941.0,26.0,26.0
6,"DOREY-HAVENS,AUBREY",161.0,9.0,3.0,202.0,8.0,5.0,109.0,2.0,0.0,68.0,2.0,5.0,540.0,21.0,13.0
7,"MILON,EMANUEL",242.0,12.0,2.0,140.0,5.0,2.0,195.0,6.0,2.0,60.0,3.0,7.0,637.0,26.0,13.0
8,"SERAPHIN,REGINALD JEAN",266.0,15.0,6.0,161.0,5.0,2.0,447.0,12.0,16.0,44.0,0.0,0.0,918.0,32.0,24.0
9,"SMITH,DANIEL",0.0,0.0,0.0,351.0,9.0,13.0,379.0,10.0,9.0,460.0,13.0,20.0,1190.0,32.0,42.0
