,player,quarter2,quarter2,quarter4,quarter4
,player,seconds,ptc,seconds,ptc
0,"RILEY,BEN",0.0,0.0,0.0,0.0
1,"SPENCER,XAVIER",0.0,0.0,0.0,0.0
2,"LATIFF,WAZIR",29.0,-30.0,112.0,21.0
3,"BRAZDEIKIS,AUGUSTAS",0.0,0.0,0.0,0.0
4,"SIMPSON,NOAH HOROBETZ",120.0,-25.0,0.0,0.0
5,"OKADO,MARJOK",47.0,5.0,120.0,9.0
6,"DOREY-HAVENS,AUBREY",0.0,0.0,112.0,21.0
7,"KNIGHT,JACOB",0.0,0.0,0.0,0.0
8,"RANDRIASALAMA,TO",0.0,0.0,0.0,0.0
9,"MILON,EMANUEL",0.0,0.0,0.0,0.0
10,"SERAPHIN,REGINALD JEAN",0.0,0.0,0.0,0.0
11,"SMITH,DANIEL",0.0,0.0,0.0,0.0
