,lineup,made layup,missed layup,Assist,Turnover,defensive rebound,enters the game,goes to the bench,missed 3-pt. jump shot,Foul,Steal,made free throw,missed free throw,made jump shot,made 3-pt. jump shot,missed jump shot,offensive rebound
0,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'SMITH,DANIEL')",0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1
1,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'RILEY,BEN', 'SIMPSON,NOAH HOROBETZ')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",0,0,0,1,2,0,0,1,2,1,4,1,1,0,1,1
3,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0,0,0,1,3,0,0,1,1,1,0,0,1,1,2,2
4,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN')",0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
5,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL')",0,0,1,1,0,0,0,1,3,0,0,0,0,1,6,3
6,"('BRAZDEIKIS,AUGUSTAS', 'KNIGHT,JACOB', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'RILEY,BEN')",0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0
7,"('BRAZDEIKIS,AUGUSTAS', 'KNIGHT,JACOB', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0
8,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
9,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'RILEY,BEN', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0,0,1,4,3,0,0,0,3,1,1,3,2,0,5,2
10,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,1,0,2,0,0,2,3,1,3,0,3,1,3,1
11,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN', 'SPENCER,XAVIER')",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
12,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'RANDRIASALAMA,TO', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,3,0,3,0,0,2,1,1,1,1,4,2,0,1
13,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0,0,1,0,2,0,0,1,0,0,2,0,0,1,1,1
14,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
15,"('BRAZDEIKIS,AUGUSTAS', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2
16,"('DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'SERAPHIN,REGINALD JEAN', 'SPENCER,XAVIER')",0,0,2,1,1,0,0,1,1,0,2,0,0,2,0,0
17,"('DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'RILEY,BEN', 'SERAPHIN,REGINALD JEAN', 'SIMPSON,NOAH HOROBETZ')",0,0,2,0,1,0,0,0,0,0,0,0,2,0,2,0
18,"('DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'SERAPHIN,REGINALD JEAN', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,1
19,"('DOREY-HAVENS,AUBREY', 'OKADO,MARJOK', 'SERAPHIN,REGINALD JEAN', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
20,"('LATIFF,WAZIR', 'RILEY,BEN', 'SERAPHIN,REGINALD JEAN', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0,0,0,0,1,0,0,1,1,0,1,1,0,0,2,1
21,"('RANDRIASALAMA,TO', 'SERAPHIN,REGINALD JEAN', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
