,,Lineup,PtScored,OffRtg,DefRtg,NetRtg,ptsconceded,global off possession,global def possession,efficiency,minutes,home/visitor,opponent
0,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'SMITH,DANIEL')",0.0,0.000,75.000,-75.000,3.0,2.0,2.0,0.0,0.87,Visitor,York
1,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'RILEY,BEN', 'SIMPSON,NOAH HOROBETZ')",0.0,0.000,0.000,0.000,3.0,0.0,0.0,0.0,0.52,Visitor,York
2,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",6.0,50.000,33.333,16.667,4.0,8.0,4.0,1.5686274509803921,2.55,Visitor,York
3,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",5.0,45.455,0.000,45.455,0.0,7.0,4.0,1.5126050420168067,1.98,Visitor,York
4,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN')",2.0,66.667,66.667,0.000,2.0,2.0,1.0,1.1764705882352942,0.85,Visitor,York
5,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL')",3.0,23.077,15.385,7.692,2.0,5.0,8.0,-1.4634146341463414,2.05,Visitor,York
6,,"('BRAZDEIKIS,AUGUSTAS', 'KNIGHT,JACOB', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'RILEY,BEN')",2.0,50.000,75.000,-25.000,3.0,3.0,1.0,0.9836065573770492,2.03,Visitor,York
7,,"('BRAZDEIKIS,AUGUSTAS', 'KNIGHT,JACOB', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",3.0,75.000,0.000,75.000,0.0,3.0,1.0,0.8823529411764706,2.27,Visitor,York
8,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0.0,0.000,100.000,-100.000,3.0,1.0,2.0,-0.4411764705882353,2.27,Visitor,York
9,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'RILEY,BEN', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",5.0,23.810,38.095,-14.286,8.0,9.0,12.0,-0.594059405940594,5.05,Visitor,York
10,,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",12.0,75.000,87.500,-12.500,14.0,11.0,5.0,1.25,4.80,Visitor,York
