,lineup,quarter1,quarter1,quarter1,quarter2,quarter2,quarter2,quarter3,quarter3,quarter3,quarter4,quarter4,quarter4,total,total,total
,lineup,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc
0,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'SMITH,DANIEL')",52.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,3.0
1,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'RILEY,BEN', 'SIMPSON,NOAH HOROBETZ')",31.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,3.0
2,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",75.0,6.0,0.0,0.0,0.0,0.0,78.0,0.0,4.0,0.0,0.0,0.0,153.0,6.0,4.0
3,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,5.0,0.0,119.0,5.0,0.0
4,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN')",0.0,0.0,0.0,51.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,2.0,2.0
5,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL')",54.0,3.0,2.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,123.0,3.0,2.0
6,"('BRAZDEIKIS,AUGUSTAS', 'KNIGHT,JACOB', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'RILEY,BEN')",0.0,0.0,0.0,122.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,2.0,3.0
7,"('BRAZDEIKIS,AUGUSTAS', 'KNIGHT,JACOB', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL')",136.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,3.0,0.0
8,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,3.0,136.0,0.0,3.0
9,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'RILEY,BEN', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",184.0,4.0,5.0,87.0,1.0,3.0,0.0,0.0,0.0,32.0,0.0,0.0,303.0,5.0,8.0
10,"('BRAZDEIKIS,AUGUSTAS', 'LATIFF,WAZIR', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0.0,0.0,0.0,101.0,7.0,5.0,74.0,2.0,2.0,113.0,3.0,7.0,288.0,12.0,14.0
11,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RILEY,BEN', 'SPENCER,XAVIER')",0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0
12,"('BRAZDEIKIS,AUGUSTAS', 'MILON,EMANUEL', 'RANDRIASALAMA,TO', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0.0,0.0,0.0,116.0,6.0,2.0,360.0,9.0,6.0,0.0,0.0,0.0,476.0,15.0,8.0
13,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SPENCER,XAVIER')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,5.0,4.0,120.0,5.0,4.0
14,"('BRAZDEIKIS,AUGUSTAS', 'OKADO,MARJOK', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,3.0,0.0,0.0,0.0,47.0,0.0,3.0
15,"('BRAZDEIKIS,AUGUSTAS', 'RANDRIASALAMA,TO', 'SIMPSON,NOAH HOROBETZ', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,2.0,0.0,0.0,0.0,44.0,1.0,2.0
