,player,made layup,missed layup,Assist,Turnover,defensive rebound,enters the game,goes to the bench,missed 3-pt. jump shot,Foul,Steal,made free throw,missed free throw,made jump shot,made 3-pt. jump shot,missed jump shot,offensive rebound
0,"SIMPSON,NOAH HOROBETZ",0,0,0,1,9,3,5,0,1,1,1,3,4,0,3,5
1,"SPENCER,XAVIER",0,0,5,1,4,3,5,5,4,2,1,0,3,3,6,2
2,"RILEY,BEN",0,0,1,1,0,3,6,1,1,0,0,0,0,0,0,0
3,"LATIFF,WAZIR",0,0,2,0,0,4,5,4,1,0,5,1,2,2,5,0
4,"BRAZDEIKIS,AUGUSTAS",0,0,0,1,3,4,4,2,1,0,3,1,3,0,9,4
5,"SMITH,DANIEL",0,0,1,2,4,6,4,0,3,2,1,0,1,0,1,2
6,"DOREY-HAVENS,AUBREY",0,0,1,2,2,6,6,0,2,0,2,0,2,1,4,1
7,"MILON,EMANUEL",0,0,0,0,0,5,3,0,0,0,1,1,0,0,1,0
8,"OKADO,MARJOK",0,0,0,1,1,5,5,0,3,0,0,0,0,2,2,1
9,"SERAPHIN,REGINALD JEAN",0,0,1,0,2,4,4,0,1,0,0,0,1,0,1,0
10,"KNIGHT,JACOB",0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
11,"RANDRIASALAMA,TO",0,0,1,0,2,3,1,2,1,0,3,1,1,1,0,1
