,PtScored,ptsconceded,OffRtg,DefRtg,NetRtg,total off possession,total def possession,global efficiency,quarter2 last 5min efficiency,quarter4 last 5min efficiency,minutes,home/visitor,opponent,date,game_type
0,48.0,57.0,184.615,219.231,-34.615,19,7,0.44036697247706424,0.5,Not in the time,27.25,Visitor,York,,
1,52.0,55.0,173.333,183.333,-10.000,18,12,0.21911138161898966,Not in the time,Not in the time,27.38,Visitor,York,,
2,14.0,22.0,466.667,733.333,-266.667,1,2,-0.09049773755656108,Not in the time,Not in the time,11.05,Visitor,York,,
3,50.0,56.0,238.095,266.667,-28.571,11,10,0.038560411311053984,0.0,-1.6071428571428572,25.93,Visitor,York,,
4,59.0,59.0,226.923,226.923,0.000,13,13,0.0,Not in the time,Not in the time,30.97,Visitor,York,,
5,46.0,46.0,383.333,383.333,0.000,9,3,0.28081123244929795,Not in the time,Not in the time,21.37,Visitor,York,,
6,34.0,31.0,226.667,206.667,20.000,9,6,0.2011173184357542,Not in the time,0.5357142857142857,14.92,Visitor,York,,
7,30.0,25.0,1000.000,833.333,166.667,1,2,-0.0784313725490196,Not in the time,Not in the time,12.75,Visitor,York,,
8,12.0,13.0,171.429,185.714,-14.286,4,3,0.13761467889908258,0.0,1.0,7.27,Visitor,York,,
9,19.0,23.0,380.000,460.000,-80.000,4,1,0.33210332103321033,Not in the time,Not in the time,9.03,Visitor,York,,
10,5.0,3.0,500.000,300.000,200.000,1,0,0.46511627906976744,Not in the time,Not in the time,2.15,Visitor,York,,
11,21.0,20.0,175.000,166.667,8.333,9,3,0.6040268456375839,Not in the time,Not in the time,9.93,Visitor,York,,
