,player,quarter1,quarter1,quarter1,quarter2,quarter2,quarter2,quarter3,quarter3,quarter3,quarter4,quarter4,quarter4,total,total,total
,player,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc
0,"RILEY,BEN",290.0,8.0,11.0,233.0,5.0,8.0,108.0,1.0,3.0,32.0,0.0,0.0,663.0,14.0,22.0
1,"SPENCER,XAVIER",184.0,4.0,5.0,406.0,14.0,13.0,453.0,13.0,16.0,600.0,21.0,21.0,1643.0,52.0,55.0
2,"LATIFF,WAZIR",485.0,17.0,14.0,331.0,14.0,16.0,260.0,3.0,9.0,480.0,16.0,17.0,1556.0,50.0,56.0
3,"BRAZDEIKIS,AUGUSTAS",464.0,16.0,13.0,450.0,18.0,15.0,492.0,12.0,17.0,452.0,13.0,14.0,1858.0,59.0,59.0
4,"SIMPSON,NOAH HOROBETZ",494.0,19.0,13.0,338.0,12.0,16.0,351.0,4.0,14.0,452.0,13.0,14.0,1635.0,48.0,57.0
5,"OKADO,MARJOK",115.0,5.0,4.0,85.0,2.0,2.0,116.0,0.0,3.0,120.0,5.0,4.0,436.0,12.0,13.0
6,"DOREY-HAVENS,AUBREY",348.0,15.0,13.0,133.0,6.0,7.0,147.0,0.0,4.0,267.0,13.0,7.0,895.0,34.0,31.0
7,"KNIGHT,JACOB",68.0,3.0,0.0,61.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,5.0,3.0
8,"RANDRIASALAMA,TO",0.0,0.0,0.0,184.0,6.0,5.0,224.0,10.0,8.0,188.0,5.0,7.0,596.0,21.0,20.0
9,"MILON,EMANUEL",106.0,3.0,5.0,262.0,10.0,7.0,249.0,9.0,6.0,148.0,8.0,7.0,765.0,30.0,25.0
10,"SERAPHIN,REGINALD JEAN",136.0,6.0,5.0,150.0,4.0,8.0,108.0,1.0,3.0,148.0,8.0,7.0,542.0,19.0,23.0
11,"SMITH,DANIEL",310.0,14.0,7.0,367.0,17.0,15.0,492.0,12.0,17.0,113.0,3.0,7.0,1282.0,46.0,46.0
